Date,AAPL,QQQ,SPY,TSLA
2017-05-08,36.162495,133.389008,221.073425,61.438
2017-05-09,36.394115,133.853516,220.870499,64.251999
2017-05-10,36.221581,133.930878,221.267166,65.043999
2017-05-11,36.534832,133.824478,220.815155,64.620003
2017-05-12,37.045063,134.124481,220.446182,64.961998
2017-05-15,36.950134,134.550232,221.663818,63.175999
2017-05-16,36.89555,135.111511,221.460846,63.402
2017-05-17,35.656765,131.676163,217.531204,61.222
2017-05-18,36.200222,132.827682,218.407562,62.612
2017-05-19,36.323624,133.389008,219.82811,62.166
2017-05-22,36.544334,134.51152,220.944321,62.07
2017-05-23,36.499229,134.647049,221.433151,60.771999
2017-05-24,36.390079,135.266373,221.949753,62.043999
2017-05-25,36.515846,136.417953,223.010559,63.366001
2017-05-26,36.454144,136.659851,222.964447,65.028
2017-05-30,36.46838,136.775986,222.770721,67.019997
2017-05-31,36.252426,136.72757,222.715363,68.202003
2017-06-01,36.352093,137.259827,224.486511,68.073997
2017-06-02,36.8908,138.827545,225.233643,67.970001
2017-06-05,36.530079,138.798492,225.067627,69.463997
2017-06-06,36.6535,138.246857,224.348129,70.57
2017-06-07,36.871826,138.788818,224.763229,71.93
2017-06-08,36.781643,138.933975,224.873901,74.0
2017-06-09,35.355362,135.459915,224.532608,71.463997
2017-06-12,34.510525,134.7341,224.486511,71.802002
2017-06-13,34.788185,135.827637,225.584183,75.190002
2017-06-14,34.448822,135.23732,225.298233,76.132004
2017-06-15,34.242363,134.637344,224.864685,75.068001
2017-06-16,33.762974,134.053177,224.913773,74.279999
2017-06-19,34.728855,136.294724,226.786255,73.959999
2017-06-20,34.413219,135.227295,225.25679,74.447998
2017-06-21,34.617317,136.566406,225.201157,75.279999
2017-06-22,34.560356,136.527573,225.099197,76.522003
2017-06-23,34.714615,137.051575,225.368011,76.690002
2017-06-26,34.605457,136.411133,225.516296,75.498001
2017-06-27,34.109459,133.936752,223.699539,72.473999
2017-06-28,34.607826,135.867737,225.701721,74.248001
2017-06-29,34.097595,133.509796,223.718079,72.150002
2017-06-30,34.178288,133.55835,224.135162,72.321999
2017-07-03,34.054886,132.151321,224.515244,70.524002
2017-07-05,34.194893,133.451569,225.034332,65.417999
2017-07-06,33.872143,132.248337,222.976501,61.765999
2017-07-07,34.216255,133.674759,224.422546,62.644001
2017-07-10,34.425091,134.548096,224.663544,63.209999
2017-07-11,34.536636,134.926498,224.496719,65.444
2017-07-12,34.586472,136.527573,226.183716,65.903999
2017-07-13,35.068222,136.828384,226.563751,64.681999
2017-07-14,35.36961,137.905487,227.620468,65.556
2017-07-17,35.493011,137.973404,227.592682,63.914001
2017-07-18,35.616421,138.895218,227.713181,65.648003
2017-07-19,35.839497,139.710312,228.946045,65.052002
2017-07-20,35.678127,139.894638,229.047989,65.984001
2017-07-21,35.661507,139.836441,228.84407,65.68
2017-07-24,36.09343,140.476852,228.788437,68.503998
2017-07-25,36.247681,140.117874,229.344589,67.919998
2017-07-26,36.418549,140.573929,229.353882,68.769997
2017-07-27,35.730339,139.690903,229.140671,66.891998
2017-07-28,35.478767,139.574463,228.871872,67.014
2017-07-31,35.296051,138.982544,228.742096,64.694
2017-08-01,35.609299,139.302765,229.251923,63.914001
2017-08-02,37.291874,139.681198,229.363159,65.178001
2017-08-03,36.919289,139.137787,228.918228,69.417999
2017-08-04,37.113892,139.390106,229.335327,71.382004
2017-08-07,37.688194,140.273102,229.761734,71.033997
2017-08-08,37.989586,140.030518,229.196274,73.043999
2017-08-09,38.222153,139.846161,229.187027,72.706001
2017-08-10,37.004704,136.847748,225.951996,71.080002
2017-08-11,37.519325,137.886047,226.28569,71.573997
2017-08-14,38.083965,139.661789,228.5289,72.760002
2017-08-15,38.500908,139.75882,228.501083,72.466003
2017-08-16,38.346035,140.001389,228.899704,72.582001
2017-08-17,37.609848,137.13887,225.330917,70.384003
2017-08-18,37.524082,137.04184,224.978714,69.491997
2017-08-21,37.454987,136.867203,225.154816,67.571999
2017-08-22,38.067284,138.953415,227.509262,68.269997
2017-08-23,38.114933,138.458542,226.693542,70.554001
2017-08-24,37.945786,138.051025,226.165207,70.585999
2017-08-25,38.086346,137.759933,226.693542,69.610001
2017-08-28,38.469929,138.186905,226.70282,69.132004
2017-08-29,38.813015,138.730286,226.962372,69.472
2017-08-30,38.917839,140.360443,228.037613,70.636002
2017-08-31,39.072697,141.864471,229.409515,71.18
2017-09-01,39.08461,141.670395,229.733917,71.080002
2017-09-05,38.615273,140.399261,228.083954,69.917999
2017-09-06,38.574757,140.826202,228.862625,68.905998
2017-09-07,38.419895,141.156143,228.834778,70.122002
2017-09-08,37.793308,139.933517,228.565979,68.68
2017-09-11,38.477085,141.544281,231.003845,72.737999
2017-09-12,38.3246,141.883881,231.782486,72.550003
2017-09-13,38.03632,142.077957,231.893692,73.246002
2017-09-14,37.709923,141.243469,231.819565,75.528
2017-09-15,38.091118,141.728638,232.131668,75.961998
2017-09-18,37.802837,141.542877,232.625351,77.0
2017-09-19,37.817123,141.785995,232.858246,75.019997
2017-09-20,37.183392,141.348419,232.942093,74.781998
2017-09-21,36.544888,140.482941,232.317932,73.295998
2017-09-22,36.187523,140.346771,232.364517,70.218002
2017-09-25,35.868259,138.868637,231.88942,68.998001
2017-09-26,36.485321,139.228424,232.02916,69.050003
2017-09-27,36.74501,140.482941,232.932755,68.194
2017-09-28,36.518677,140.43425,233.212219,67.919998
2017-09-29,36.7188,141.445618,234.031952,68.220001
2017-10-02,36.644947,141.572052,235.047363,68.306
2017-10-03,36.804577,141.873535,235.550385,69.627998
2017-10-04,36.566326,142.009644,235.829895,71.001999
2017-10-05,37.021374,143.400299,237.227188,71.066002
2017-10-06,36.999935,143.594788,236.957047,71.375999
2017-10-09,37.12859,143.429474,236.565765,68.587997
2017-10-10,37.142887,143.536453,237.189911,71.117996
2017-10-11,37.297749,143.96434,237.5625,70.919998
2017-10-12,37.166714,143.701767,237.208542,71.136002
2017-10-13,37.402584,144.256073,237.497314,71.113998
2017-10-16,38.091118,144.752029,237.814056,70.120003
2017-10-17,38.231678,144.936813,237.981735,71.150002
2017-10-18,38.062523,144.76178,238.214615,71.93
2017-10-19,37.161949,144.226898,238.279816,70.362
2017-10-20,37.226273,144.615906,239.50943,69.019997
2017-10-23,37.207218,143.672592,238.577896,67.403999
2017-10-24,37.428795,143.915741,238.997116,67.468002
2017-10-25,37.264393,143.371124,237.814056,65.167999
2017-10-26,37.50264,142.914063,238.12146,65.234001
2017-10-27,38.846359,147.076248,240.06839,64.174004
2017-10-30,39.720734,147.406906,239.174133,64.015999
2017-10-31,40.27346,147.961166,239.546692,66.306
2017-11-01,39.761238,147.912582,239.863449,64.216003
2017-11-02,40.051903,147.630554,239.956573,59.852001
2017-11-03,41.097809,149.050369,240.757736,61.217999
2017-11-06,41.51474,149.556015,241.130341,60.556
2017-11-07,41.648167,149.643555,240.962692,61.209999
2017-11-08,41.988853,150.246475,241.372528,60.877998
2017-11-09,41.903088,149.458786,240.496902,60.598
2017-11-10,41.764408,149.449081,240.422363,60.598
2017-11-13,41.597031,149.633804,240.645905,63.080002
2017-11-14,40.968189,149.089264,240.087036,61.740002
2017-11-15,40.427811,148.389084,238.88533,62.259998
2017-11-16,40.910809,150.285385,240.916061,62.5
2017-11-17,40.683651,149.711594,240.208099,63.009998
2017-11-20,40.643002,149.594925,240.618011,61.748001
2017-11-21,41.398575,151.218948,242.192291,63.562
2017-11-22,41.833748,151.403717,241.978043,62.52
2017-11-24,41.83614,151.958038,242.536972,63.110001
2017-11-27,41.625725,151.889954,242.415894,63.362
2017-11-28,41.381844,152.278931,244.875183,63.509998
2017-11-29,40.523453,149.62413,244.726074,61.507999
2017-11-30,41.090134,150.878601,246.868668,61.77
2017-12-01,40.898849,150.236786,246.356308,61.306
2017-12-04,40.599964,148.505753,246.058197,61.040001
2017-12-05,40.56171,148.603012,245.173233,60.740002
2017-12-06,40.411072,149.273987,245.219818,62.652
2017-12-07,40.485191,149.779724,245.993011,62.248001
2017-12-08,40.497147,150.440964,247.334396,63.026001
2017-12-11,41.286198,151.607956,248.079697,65.781998
2017-12-12,41.054268,151.403717,248.517426,68.206001
2017-12-13,41.190552,151.695465,248.489578,67.806
2017-12-14,41.178596,151.588486,247.474182,67.578003
2017-12-15,41.597031,153.309769,249.534927,68.690002
2017-12-18,42.182835,154.595154,251.117294,67.774002
2017-12-19,41.733322,153.679092,250.153,66.220001
2017-12-20,41.687897,153.513428,250.021851,65.795998
2017-12-21,41.845692,153.532898,250.536896,66.332001
2017-12-22,41.845692,153.357483,250.471313,65.040001
2017-12-26,40.784073,152.52919,250.171661,63.458
2017-12-27,40.791248,152.548676,250.293381,62.327999
2017-12-28,40.906021,152.733826,250.808395,63.071999
2017-12-29,40.46368,151.788513,249.862671,62.27
2018-01-02,41.188168,154.448959,251.651047,64.106003
2018-01-03,41.180981,155.949707,253.242706,63.450001
2018-01-04,41.372272,156.222534,254.310089,62.924
2018-01-05,41.843311,157.791473,256.004913,63.316002
2018-01-08,41.687897,158.405426,256.472992,67.281998
2018-01-09,41.683117,158.415207,257.053528,66.737999
2018-01-10,41.67355,158.044861,256.660339,66.959999
2018-01-11,41.910255,159.126602,258.532898,67.589996
2018-01-12,42.34304,160.296005,260.218231,67.244003
2018-01-16,42.127853,159.837936,259.328796,68.012001
2018-01-17,42.823643,161.56282,261.800659,69.431999
2018-01-18,42.861897,161.592072,261.360504,68.914001
2018-01-19,42.670616,162.098801,262.549622,70.003998
2018-01-22,42.321518,163.833389,264.684357,70.311996
2018-01-23,42.331081,165.187973,265.246216,70.557999
2018-01-24,41.656811,164.116028,265.143188,69.178001
2018-01-25,40.913197,164.057571,265.255524,67.528
2018-01-26,41.008831,166.571793,268.326691,68.57
2018-01-29,40.160023,165.762955,266.547577,69.905998
2018-01-30,39.923294,164.398621,263.81366,69.164001
2018-01-31,40.033283,165.08075,263.944702,70.862
2018-02-01,40.116974,163.677521,263.645081,69.849998
2018-02-02,38.376297,160.412903,257.905548,68.75
2018-02-05,37.41748,154.088364,247.119293,66.625999
2018-02-06,38.981232,158.171555,251.988098,66.793999
2018-02-07,38.146759,156.125122,250.621078,69.0
2018-02-08,37.097084,149.537445,241.220581,63.046001
2018-02-09,37.550827,152.119904,244.844086,62.084
2018-02-12,39.063343,154.819275,248.439545,63.146
2018-02-13,39.454666,155.618347,249.057465,64.732002
2018-02-14,40.182102,158.53212,252.418793,64.461998
2018-02-15,41.531357,161.475143,255.639694,66.814003
2018-02-16,41.396904,160.753983,255.714569,67.098
2018-02-20,41.257664,161.075577,254.113525,66.954002
2018-02-21,41.0704,160.617569,252.849518,66.660004
2018-02-22,41.413719,160.598083,253.1772,69.234001
2018-02-23,42.133953,163.882141,257.212708,70.410004
2018-02-26,42.967026,166.055267,260.199524,71.484001
2018-02-27,42.827785,163.999084,256.950562,70.197998
2018-02-28,42.762951,162.946625,254.34758,68.612
2018-03-01,42.013916,160.286209,250.649155,66.185997
2018-03-02,42.304409,161.757736,251.941299,67.024002
2018-03-05,42.450855,163.550827,254.85318,66.669998
2018-03-06,42.414848,164.242691,255.499283,65.639999
2018-03-07,42.021111,164.622787,255.405563,66.459999
2018-03-08,42.479668,165.529083,256.641602,65.82
2018-03-09,43.209507,168.744919,261.107697,65.433998
2018-03-12,43.627247,169.641449,260.78006,69.101997
2018-03-13,43.207108,167.331879,259.094604,68.367996
2018-03-14,42.839787,167.302673,257.765106,65.325996
2018-03-15,42.890202,167.156464,257.484192,65.120003
2018-03-16,42.73896,166.659485,257.763458,64.269997
2018-03-19,42.085941,163.103592,254.275833,62.712002
2018-03-20,42.071526,163.640427,254.708221,62.110001
2018-03-21,41.118416,162.927902,254.219376,63.306
2018-03-22,40.53743,158.906464,247.864624,61.82
2018-03-23,39.598709,154.719009,242.581482,60.307999
2018-03-26,41.478531,160.468155,249.218292,60.835999
2018-03-27,40.414982,155.275391,244.978653,55.835999
2018-03-28,39.968433,153.489182,244.254807,51.556
2018-03-29,40.280533,156.300308,247.375793,53.226002
2018-04-02,40.016445,151.790787,242.03627,50.495998
2018-04-03,40.426983,153.498917,245.138504,53.506001
2018-04-04,41.200047,155.919632,247.761292,57.388
2018-04-05,41.485737,156.807861,249.716568,61.144001
2018-04-06,40.424587,152.884048,244.151413,59.860001
2018-04-09,40.825516,153.957687,245.35466,57.931999
2018-04-10,41.593777,157.354477,249.255905,60.939999
2018-04-11,41.399311,156.446716,247.949265,60.186001
2018-04-12,41.807449,158.330551,249.989151,58.816002
2018-04-13,41.949097,157.510666,249.255905,60.068001
2018-04-16,42.210777,158.711212,251.305206,58.242001
2018-04-17,42.791775,162.127533,253.99379,57.537998
2018-04-18,42.695732,162.459396,254.181793,58.669998
2018-04-19,41.485737,160.965988,252.771759,60.015999
2018-04-20,39.785969,158.418396,250.628372,58.048
2018-04-23,39.670734,158.018204,250.590775,56.674
2018-04-24,39.118557,154.670273,247.215973,56.692001
2018-04-25,39.289009,154.855682,247.827011,56.138
2018-04-26,39.425861,158.115829,250.34639,57.096001
2018-04-27,38.969704,158.21344,250.58136,58.816002
2018-04-30,39.675533,157.090927,248.654297,58.779999
2018-05-01,40.597443,158.886932,249.096054,59.984001
2018-05-02,42.390839,157.94989,247.422806,60.23
2018-05-03,42.467651,157.930344,246.877594,56.889999
2018-05-04,44.133812,160.926941,250.073792,58.818001
2018-05-07,44.453117,162.264191,250.9198,60.554001
2018-05-08,44.66679,162.098267,250.9198,60.394001
2018-05-09,44.9813,163.86496,253.345169,61.369999
2018-05-10,45.62471,165.563339,255.714096,61.004002
2018-05-11,45.451187,165.407166,256.494354,60.212002
2018-05-14,45.345131,165.690186,256.616608,58.394001
2018-05-15,44.933029,163.855209,254.849274,56.835999
2018-05-16,45.352371,164.93866,255.920853,57.296001
2018-05-17,45.065578,164.304184,255.704712,56.908001
2018-05-18,44.901691,163.454987,255.065414,55.363998
