symbol,group,name
CTIC,NASDAQ Capital Market,CTI BioPharma Corp. - Common Stock
CTRE,NASDAQ Global Select Market,"CareTrust REIT, Inc. - Common Stock"
CTRL,NASDAQ Global Select Market,Control4 Corporation - Common Stock
CTRN,NASDAQ Global Select Market,"Citi Trends, Inc. - Common Stock"
CTRP,NASDAQ Global Select Market,"Ctrip.com International, Ltd. - American Depositary Shares"
CTRX,NASDAQ Global Select Market,Catamaran Corporation - Common Stock
CTSH,NASDAQ Global Select Market,Cognizant Technology Solutions Corporation - Class A Common Stock
CTSO,NASDAQ Capital Market,Cytosorbents Corporation - Common Stock
CTWS,NASDAQ Global Select Market,"Connecticut Water Service, Inc. - Common Stock"
CTXS,NASDAQ Global Select Market,"Citrix Systems, Inc. - Common Stock"
CU,NASDAQ Global Market,First Trust ISE Global Copper Index Fund
CUBA,NASDAQ Capital Market,"The Herzfeld Caribbean Basin Fund, Inc. - Closed End FUnd"
CUI,NASDAQ Capital Market,"CUI Global, Inc. - Common Stock"
CUNB,NASDAQ Capital Market,CU Bancorp (CA) - Common Stock
CUTR,NASDAQ Global Select Market,"Cutera, Inc. - Common Stock"
CVBF,NASDAQ Global Select Market,CVB Financial Corporation - Common Stock
CVCO,NASDAQ Global Select Market,"Cavco Industries, Inc. - Common Stock"
CVCY,NASDAQ Capital Market,Central Valley Community Bancorp - Common Stock
CVGI,NASDAQ Global Select Market,"Commercial Vehicle Group, Inc. - Common Stock"
CVGW,NASDAQ Global Select Market,"Calavo Growers, Inc. - Common Stock"
CVLT,NASDAQ Global Select Market,"CommVault Systems, Inc. - Common Stock"
CVLY,NASDAQ Global Market,"Codorus Valley Bancorp, Inc - Common Stock"
CVTI,NASDAQ Global Select Market,"Covenant Transportation Group, Inc. - Class A Common Stock"
CVV,NASDAQ Capital Market,CVD Equipment Corporation - Common Stock
CWAY,NASDAQ Capital Market,"Coastway Bancorp, Inc. - Common Stock"
CWBC,NASDAQ Global Market,Community West Bancshares - Common Stock
CWCO,NASDAQ Global Select Market,Consolidated Water Co. Ltd. - Ordinary Shares
CWST,NASDAQ Global Select Market,"Casella Waste Systems, Inc. - Class A Common Stock"
CXDC,NASDAQ Global Market,China XD Plastics Company Limited - Common Stock
CY,NASDAQ Global Select Market,Cypress Semiconductor Corporation - Common Stock
CYAN,NASDAQ Capital Market,Cyanotech Corporation - Common Stock
CYBE,NASDAQ Global Market,CyberOptics Corporation - Common Stock
CYBR,NASDAQ Global Select Market,CyberArk Software Ltd. - Ordinary Shares
CYBX,NASDAQ Global Select Market,"Cyberonics, Inc. - Common Stock"
CYCC,NASDAQ Global Market,"Cyclacel Pharmaceuticals, Inc. - Common Stock"
CYCCP,NASDAQ Capital Market,"Cyclacel Pharmaceuticals, Inc. - 6% Convertible Preferred Stock"
CYHHZ,NASDAQ Global Market,"Community Health Systems, Inc. - Series A Contingent Value Rights"
CYNO,NASDAQ Global Select Market,"Cynosure, Inc. - Class A Common Stock"
CYOU,NASDAQ Global Select Market,"Changyou.com Limited - American Depositary Shares, each representing two Class A ordinary shares"
CYRN,NASDAQ Capital Market,CYREN Ltd. - Ordinary Shares
CYTK,NASDAQ Capital Market,"Cytokinetics, Incorporated - Common Stock"
CYTR,NASDAQ Capital Market,CytRx Corporation - Common Stock
CYTX,NASDAQ Global Market,Cytori Therapeutics Inc - Common Stock
CZFC,NASDAQ Global Market,Citizens First Corporation - Common Stock
CZNC,NASDAQ Capital Market,Citizens & Northern Corp - Common Stock
CZR,NASDAQ Global Select Market,Caesars Entertainment Corporation - Common Stock
CZWI,NASDAQ Global Market,"Citizens Community Bancorp, Inc. - Common Stock"
DAEG,NASDAQ Capital Market,Daegis Inc - Common Stock
DAIO,NASDAQ Capital Market,Data I/O Corporation - Common Stock
DAKT,NASDAQ Global Select Market,"Daktronics, Inc. - Common Stock"
DARA,NASDAQ Capital Market,"DARA Biosciences, Inc. - Common Stock"
DATE,NASDAQ Global Select Market,Jiayuan.com International Ltd. - American Depositary Shares
DAVE,NASDAQ Global Select Market,"Famous Dave's of America, Inc. - Common Stock"
DAX,NASDAQ Global Market,Recon Capital DAX Germany ETF
DBVT,NASDAQ Global Select Market,DBV Technologies S.A. - American Depositary Shares
DCIX,NASDAQ Global Select Market,Diana Containerships Inc. - Common Shares
DCOM,NASDAQ Global Select Market,"Dime Community Bancshares, Inc. - Common Stock"
DCTH,NASDAQ Capital Market,"Delcath Systems, Inc. - Common Stock"
DENN,NASDAQ Capital Market,Denny's Corporation - Common Stock
DEPO,NASDAQ Global Select Market,"Depomed, Inc. - Common Stock"
DERM,NASDAQ Global Select Market,"Dermira, Inc. - Common Stock"
DEST,NASDAQ Global Select Market,Destination Maternity Corporation - Common Stock
DFRG,NASDAQ Global Select Market,"Del Frisco's Restaurant Group, Inc. - Common Stock"
DFVL,NASDAQ Global Market,Barclays PLC - iPath US Treasury 5 Year Bull ETN
DFVS,NASDAQ Global Market,Barclays PLC - iPath US Treasury 5-year Bear ETN
DGAS,NASDAQ Global Select Market,"Delta Natural Gas Company, Inc. - Common Stock"
DGICA,NASDAQ Global Select Market,"Donegal Group, Inc. - Class A Common Stock"
DGICB,NASDAQ Global Select Market,"Donegal Group, Inc. - Class B Common Stock"
DGII,NASDAQ Global Select Market,Digi International Inc. - Common Stock
DGLD,NASDAQ Global Market,Credit Suisse AG - VelocityShares 3x Inverse Gold ETN
DGLY,NASDAQ Capital Market,"Digital Ally, Inc. - Common Stock"
DGRE,NASDAQ Global Market,WisdomTree Emerging Markets Dividend Growth Fund
DGRS,NASDAQ Global Market,WisdomTree U.S. SmallCap Dividend Growth Fund
DGRW,NASDAQ Global Market,WisdomTree U.S. Dividend Growth Fund
DHIL,NASDAQ Global Select Market,"Diamond Hill Investment Group, Inc. - Class A Common Stock"
DHRM,NASDAQ Capital Market,Dehaier Medical Systems Limited - Common Stock
DIOD,NASDAQ Global Select Market,Diodes Incorporated - Common Stock
DISCA,NASDAQ Global Select Market,"Discovery Communications, Inc. - Series A Common Stock"
DISCB,NASDAQ Global Select Market,"Discovery Communications, Inc. - Series B Common Stock"
DISCK,NASDAQ Global Select Market,"Discovery Communications, Inc. - Series C Common Stock"
DISH,NASDAQ Global Select Market,DISH Network Corporation - Class A Common Stock
DJCO,NASDAQ Capital Market,Daily Journal Corp. (S.C.) - Common Stock
DLBL,NASDAQ Global Market,Barclays PLC - iPath US Treasury Long Bond Bull ETN
DLBS,NASDAQ Global Market,Barclays PLC - iPath US Treasury Long Bond Bear ETN
DLHC,NASDAQ Capital Market,DLH Holdings Corp. - Common Stock
DLTR,NASDAQ Global Select Market,"Dollar Tree, Inc. - Common Stock"
DMLP,NASDAQ Global Select Market,"Dorchester Minerals, L.P. - Common Units Representing Limited Partnership Interests"
DMND,NASDAQ Global Select Market,"Diamond Foods, Inc. - Common Stock"
DMRC,NASDAQ Global Select Market,Digimarc Corporation - Common Stock
DNBF,NASDAQ Capital Market,DNB Financial Corp - Common Stock
DNKN,NASDAQ Global Select Market,"Dunkin' Brands Group, Inc. - Common Stock"
DORM,NASDAQ Global Select Market,"Dorman Products, Inc. - Common Stock"
DOVR,NASDAQ Capital Market,"Dover Saddlery, Inc. - Common Stock"
DOX,NASDAQ Global Select Market,Amdocs Limited - Ordinary Shares
DPRX,NASDAQ Capital Market,"Dipexium Pharmaceuticals, Inc. - Common Stock"
DRAD,NASDAQ Global Market,Digirad Corporation - Common Stock
DRAM,NASDAQ Capital Market,Dataram Corporation - Common Stock
DRIV,NASDAQ Global Select Market,"Digital River, Inc. - Common Stock"
DRNA,NASDAQ Global Select Market,"Dicerna Pharmaceuticals, Inc. - Common Stock"
DRRX,NASDAQ Global Market,DURECT Corporation - Common Stock
DRWI,NASDAQ Global Select Market,DragonWave Inc - Common Shares
DRWIW,NASDAQ Global Select Market,DragonWave Inc - Warrants
DRYS,NASDAQ Global Select Market,DryShips Inc. - Common Stock
DSCI,NASDAQ Capital Market,"Derma Sciences, Inc. - Common Stock"
DSCO,NASDAQ Capital Market,"Discovery Laboratories, Inc. - Common Stock"
DSGX,NASDAQ Global Select Market,The Descartes Systems Group Inc. - Common Stock
DSKX,NASDAQ Capital Market,"DS Healthcare Group, Inc. - Common Stock"
DSKY,NASDAQ Global Select Market,iDreamSky Technology Limited - American Depositary Shares
DSLV,NASDAQ Global Market,Credit Suisse AG - VelocityShares 3x Inverse Silver ETN
DSPG,NASDAQ Global Select Market,"DSP Group, Inc. - Common Stock"
DSWL,NASDAQ Global Market,"Deswell Industries, Inc. - Common Shares"
DTLK,NASDAQ Global Select Market,Datalink Corporation - Common Stock
DTSI,NASDAQ Global Select Market,"DTS, Inc. - Common Stock"
DTUL,NASDAQ Global Market,Barclays PLC - iPath US Treasury 2 Yr Bull ETN
DTUS,NASDAQ Global Market,Barclays PLC - iPath US Treasury 2-year Bear ETN
DTV,NASDAQ Global Select Market,DIRECTV - Common Stock
DTYL,NASDAQ Global Market,Barclays PLC - iPath US Treasury 10 Year Bull ETN
DTYS,NASDAQ Global Market,Barclays PLC - iPath US Treasury 10-year Bear ETN
DVAX,NASDAQ Capital Market,Dynavax Technologies Corporation - Common Stock
DVCR,NASDAQ Capital Market,Diversicare Healthcare Services Inc. - Common Stock
DWA,NASDAQ Global Select Market,"Dreamworks Animation SKG, Inc. - Class A Common Stock"
DWAT,NASDAQ Global Market,Arrow DWA Tactical ETF
DWCH,NASDAQ Capital Market,Datawatch Corporation - Common Stock
DWSN,NASDAQ Global Select Market,Dawson Geophysical Company - Common Stock
DXCM,NASDAQ Global Select Market,"DexCom, Inc. - Common Stock"
DXGE,NASDAQ Global Market,WisdomTree Germany Hedged Equity Fund
DXJS,NASDAQ Global Market,WisdomTree Japan Hedged SmallCap Equity Fund
DXKW,NASDAQ Global Market,WisdomTree Korea Hedged Equity Fund
DXLG,NASDAQ Global Select Market,"Destination XL Group, Inc. - Common Stock"
DXM,NASDAQ Global Select Market,"Dex Media, Inc. - Common Stock"
DXPE,NASDAQ Global Select Market,"DXP Enterprises, Inc. - Common Stock"
DXPS,NASDAQ Global Market,WisdomTree United Kingdom Hedged Equity Fund
DXYN,NASDAQ Global Market,"The Dixie Group, Inc. - Common Stock"
DYAX,NASDAQ Global Market,Dyax Corp. - Common Stock
DYNT,NASDAQ Capital Market,Dynatronics Corporation - Common Stock
DYSL,NASDAQ Capital Market,Dynasil Corporation of America - Common Stock
EA,NASDAQ Global Select Market,Electronic Arts Inc. - Common Stock
EAC,NASDAQ Global Market,Erickson Incorporated - Common Stock
EARS,NASDAQ Global Market,Auris Medical Holding AG - Common Shares
EBAY,NASDAQ Global Select Market,eBay Inc. - Common Stock
EBIO,NASDAQ Global Market,"Eleven Biotherapeutics, Inc. - Common Stock"
EBIX,NASDAQ Global Select Market,"Ebix, Inc. - Common Stock"
EBMT,NASDAQ Global Market,"Eagle Bancorp Montana, Inc. - Common Stock"
EBSB,NASDAQ Global Select Market,"Meridian Bancorp, Inc. - Common Stock"
EBTC,NASDAQ Global Select Market,Enterprise Bancorp Inc - Common Stock
ECHO,NASDAQ Global Select Market,"Echo Global Logistics, Inc. - Common Stock"
ECOL,NASDAQ Global Select Market,"US Ecology, Inc. - Common Stock"
ECPG,NASDAQ Global Select Market,Encore Capital Group Inc - Common Stock
ECTE,NASDAQ Capital Market,"Echo Therapeutics, Inc. - Common Stock"
ECYT,NASDAQ Global Select Market,"Endocyte, Inc. - Common Stock"
EDAP,NASDAQ Global Market,"EDAP TMS S.A. - American Depositary Shares, each representing One Ordinary Share"
EDGW,NASDAQ Global Market,"Edgewater Technology, Inc. - Common Stock"
EDS,NASDAQ Global Select Market,Exceed Company Ltd. - Common Stock
EDUC,NASDAQ Global Market,Educational Development Corporation - Common Stock
EEFT,NASDAQ Global Select Market,"Euronet Worldwide, Inc. - Common Stock"
EEI,NASDAQ Global Market,"Ecology and Environment, Inc. - Class A Common Stock"
EEMA,NASDAQ Global Market,iShares MSCI Emerging Markets Asia Index Fund
EEME,NASDAQ Global Market,iShares MSCI Emerging Markets EMEA Index Fund
EEML,NASDAQ Global Market,iShares MSCI Emerging Markets Latin America Index Fund
EFII,NASDAQ Global Select Market,"Electronics for Imaging, Inc. - Common Stock"
EFOI,NASDAQ Capital Market,"Energy Focus, Inc. - Common Stock"
EFSC,NASDAQ Global Select Market,Enterprise Financial Services Corporation - Common Stock
EFUT,NASDAQ Capital Market,eFuture Information Technology Inc. - Ordinary Shares
EGAN,NASDAQ Capital Market,eGain Corporation - Common Stock
EGBN,NASDAQ Capital Market,"Eagle Bancorp, Inc. - Common Stock"
EGHT,NASDAQ Global Select Market,8x8 Inc - Common Stock
EGLE,NASDAQ Global Select Market,Eagle Bulk Shipping Inc. - Common Stock
EGLT,NASDAQ Global Market,Egalet Corporation - Common Stock
EGOV,NASDAQ Global Select Market,NIC Inc. - Common Stock
EGRW,NASDAQ Global Market,iShares MSCI Emerging Markets Growth Index Fund
EGRX,NASDAQ Global Market,"Eagle Pharmaceuticals, Inc. - Common Stock"
EGT,NASDAQ Capital Market,Entertainment Gaming Asia Incorporated - Common Stock
EHTH,NASDAQ Global Select Market,"eHealth, Inc. - Common Stock"
EIGI,NASDAQ Global Select Market,"Endurance International Group Holdings, Inc. - Common Stock"
ELGX,NASDAQ Global Select Market,"Endologix, Inc. - Common Stock"
ELNK,NASDAQ Global Select Market,EarthLink Holdings Corp. - Common Stock
ELON,NASDAQ Global Select Market,Echelon Corporation - Common Stock
ELOS,NASDAQ Global Select Market,Syneron Medical Ltd. - Ordinary Shares
ELRC,NASDAQ Global Select Market,Electro Rent Corporation - Common Stock
ELSE,NASDAQ Capital Market,"Electro-Sensors, Inc. - Common Stock"
ELTK,NASDAQ Capital Market,Eltek Ltd. - Ordinary Shares
EMCB,NASDAQ Global Market,WisdomTree Emerging Markets Corporate Bond Fund
EMCF,NASDAQ Capital Market,Emclaire Financial Corp - Common Stock
EMCG,NASDAQ Global Market,WisdomTree Emerging Markets Consumer Growth Fund
EMCI,NASDAQ Global Select Market,EMC Insurance Group Inc. - Common Stock
EMDI,NASDAQ Global Market,iShares MSCI Emerging Markets Consumer Discrectionary Sector Index Fund
EMEY,NASDAQ Global Market,iShares MSCI Emerging Markets Energy Sector Capped Index Fund
EMIF,NASDAQ Global Market,iShares S&P Emerging Markets Infrastructure Index Fund
EMITF,NASDAQ Global Select Market,Elbit Imaging Ltd. - Ordinary Shares
EMKR,NASDAQ Global Market,EMCORE Corporation - Common Stock
EML,NASDAQ Global Market,Eastern Company (The) - Common Stock
EMMS,NASDAQ Global Select Market,Emmis Communications Corporation - Class A Common Stock
EMMSP,NASDAQ Global Select Market,Emmis Communications Corporation - 6.25% Series A Cumulative Convertible Preferred Stock
ENDP,NASDAQ Global Select Market,Endo International plc - Ordinary Shares
ENFC,NASDAQ Global Market,Entegra Financial Corp. - Common Stock
ENG,NASDAQ Capital Market,ENGlobal Corporation - Common Stock
ENOC,NASDAQ Global Select Market,"EnerNOC, Inc. - Common Stock"
ENPH,NASDAQ Global Market,"Enphase Energy, Inc. - Common Stock"
ENSG,NASDAQ Global Select Market,"The Ensign Group, Inc. - Common Stock"
ENT,NASDAQ Capital Market,Global Eagle Entertainment Inc. - Common Stock
ENTA,NASDAQ Global Select Market,"Enanta Pharmaceuticals, Inc. - Common Stock"
ENTG,NASDAQ Global Select Market,"Entegris, Inc. - Common Stock"
ENTR,NASDAQ Global Select Market,"Entropic Communications, Inc. - Common Stock"
ENVI,NASDAQ Global Select Market,"Envivio, Inc. - Common Stock"
ENZN,NASDAQ Capital Market,"Enzon Pharmaceuticals, Inc. - Common Stock"
ENZY,NASDAQ Global Select Market,Enzymotec Ltd. - Ordinary Shares
EOPN,NASDAQ Global Market,"E2open, Inc. - Common Stock"
EPAX,NASDAQ Global Select Market,"Ambassadors Group, Inc. - Common Stock"
EPAY,NASDAQ Global Select Market,"Bottomline Technologies, Inc. - Common Stock"
EPIQ,NASDAQ Global Select Market,"EPIQ Systems, Inc. - Common Stock"
EPRS,NASDAQ Capital Market,"EPIRUS Biopharmaceuticals, Inc. - Common Stock"
EPZM,NASDAQ Global Select Market,"Epizyme, Inc. - Common Stock"
EQIX,NASDAQ Global Select Market,"Equinix, Inc. - Common Stock"
ERI,NASDAQ Global Select Market,"Eldorado Resorts, Inc. - Common Stock"
ERIC,NASDAQ Global Select Market,Ericsson - ADS each representing 1 underlying Class B share
ERIE,NASDAQ Global Select Market,Erie Indemnity Company - Class A Common Stock
ERII,NASDAQ Global Select Market,"Energy Recovery, Inc. - Common Stock"
EROC,NASDAQ Global Select Market,"Eagle Rock Energy Partners, L.P. - Common Units Representing Limited Partner Interests"
ERS,NASDAQ Capital Market,"Empire Resources, Inc. - Common Stock"
ERW,NASDAQ Global Market,VelocityShares Equal Risk Weighted Large Cap ETF
ESBF,NASDAQ Global Select Market,ESB Financial Corporation - Common Stock
ESBK,NASDAQ Capital Market,Elmira Savings Bank NY (The) - Common Stock
ESCA,NASDAQ Global Market,"Escalade, Incorporated - Common Stock"
ESCR,NASDAQ Global Select Market,Escalera Resources Co. - Common Stock
ESCRP,NASDAQ Global Select Market,Escalera Resources Co. - Series A Cumulative Preferred Stock
ESEA,NASDAQ Global Select Market,Euroseas Ltd. - Common Stock
ESGR,NASDAQ Global Select Market,Enstar Group Limited - Ordinary Shares
ESIO,NASDAQ Global Select Market,"Electro Scientific Industries, Inc. - Common Stock"
ESLT,NASDAQ Global Select Market,Elbit Systems Ltd. - Ordinary Shares
ESMC,NASDAQ Capital Market,Escalon Medical Corp. - Common Stock
ESPR,NASDAQ Global Market,"Esperion Therapeutics, Inc. - Common Stock"
ESRX,NASDAQ Global Select Market,Express Scripts Holding Company - Common Stock
ESSA,NASDAQ Global Select Market,"ESSA Bancorp, Inc. - common stock"
ESSX,NASDAQ Capital Market,Essex Rental Corporation - Common Stock
ESXB,NASDAQ Capital Market,Community Bankers Trust Corporation. - Common Stock
ESYS,NASDAQ Capital Market,Elecsys Corporation - Common Stock
ETFC,NASDAQ Global Select Market,E*TRADE Financial Corporation - Common Stock
ETRM,NASDAQ Capital Market,EnteroMedics Inc. - Common Stock
EUFN,NASDAQ Global Market,iShares MSCI Europe Financials Sector Index Fund
EVAL,NASDAQ Global Market,iShares MSCI Emerging Markets Value Index Fund
EVAR,NASDAQ Global Market,"Lombard Medical, Inc. - Ordinary Shares"
EVBS,NASDAQ Global Select Market,"Eastern Virginia Bankshares, Inc. - Common Stock"
EVEP,NASDAQ Global Select Market,"EV Energy Partners, L.P. - common units representing limited partnership interest"
EVK,NASDAQ Global Market,"Ever-Glory International Group, Inc. - Common Stock"
EVLV,NASDAQ Global Select Market,EVINE Live Inc. - Common Stock
EVOK,NASDAQ Capital Market,"Evoke Pharma, Inc. - Common Stock"
EVOL,NASDAQ Capital Market,"Evolving Systems, Inc. - Common Stock"
EVRY,NASDAQ Global Market,"EveryWare Global, Inc. - Common Stock"
EWBC,NASDAQ Global Select Market,"East West Bancorp, Inc. - Common Stock"
EXA,NASDAQ Global Market,Exa Corporation - Common Stock
EXAC,NASDAQ Global Select Market,"Exactech, Inc. - Common Stock"
EXAS,NASDAQ Capital Market,Exact Sciences Corporation - Common Stock
EXEL,NASDAQ Global Select Market,"Exelixis, Inc. - Common Stock"
EXFO,NASDAQ Global Select Market,EXFO Inc - Subordinate Voting Shares
EXLP,NASDAQ Global Select Market,"Exterran Partners, L.P. - Common Units representing Limited Partner Interests"
EXLS,NASDAQ Global Select Market,"ExlService Holdings, Inc. - Common Stock"
EXPD,NASDAQ Global Select Market,"Expeditors International of Washington, Inc. - Common Stock"
EXPE,NASDAQ Global Select Market,"Expedia, Inc. - Common Stock"
EXPO,NASDAQ Global Select Market,"Exponent, Inc. - Common Stock"
EXTR,NASDAQ Global Select Market,"Extreme Networks, Inc. - Common Stock"
EXXI,NASDAQ Global Select Market,Energy XXI Ltd. - Common Stock
EYES,NASDAQ Capital Market,"Second Sight Medical Products, Inc. - Common Stock"
EZCH,NASDAQ Global Select Market,EZchip Semiconductor Limited - Ordinary Shares
EZPW,NASDAQ Global Select Market,"EZCORP, Inc. - Class A Non-Voting Common Stock"
FALC,NASDAQ Global Market,"FalconStor Software, Inc. - Common Stock"
FANG,NASDAQ Global Select Market,"Diamondback Energy, Inc. - Commmon Stock"
FARM,NASDAQ Global Select Market,Farmer Brothers Company - Common Stock
FARO,NASDAQ Global Select Market,"FARO Technologies, Inc. - Common Stock"
FAST,NASDAQ Global Select Market,Fastenal Company - Common Stock
FATE,NASDAQ Global Market,"Fate Therapeutics, Inc. - Common Stock"
FB,NASDAQ Global Select Market,"Facebook, Inc. - Class A Common Stock"
FBIZ,NASDAQ Global Select Market,"First Business Financial Services, Inc. - Common Stock"
FBMS,NASDAQ Global Market,"The First Bancshares, Inc. - Common Stock"
FBNC,NASDAQ Global Select Market,First Bancorp - Common Stock
FBNK,NASDAQ Global Select Market,"First Connecticut Bancorp, Inc. - Common Stock"
FBRC,NASDAQ Global Select Market,FBR & Co - Common Stock
FBSS,NASDAQ Capital Market,"Fauquier Bankshares, Inc. - Common Stock"
FCAP,NASDAQ Capital Market,"First Capital, Inc. - Common Stock"
FCBC,NASDAQ Global Select Market,"First Community Bancshares, Inc. - Common Stock"
FCCO,NASDAQ Capital Market,First Community Corporation - Common Stock
FCCY,NASDAQ Global Market,1st Constitution Bancorp (NJ) - Common Stock
FCEL,NASDAQ Global Market,"FuelCell Energy, Inc. - Common Stock"
FCFS,NASDAQ Global Select Market,"First Cash Financial Services, Inc. - Common Stock"
FCHI,NASDAQ Global Market,iShares FTSE China (HK Listed) Index Fund
FCLF,NASDAQ Capital Market,First Clover Leaf Financial Corp. - Common Stock
FCNCA,NASDAQ Global Select Market,"First Citizens BancShares, Inc. - Class A Common Stock"
FCS,NASDAQ Global Select Market,"Fairchild Semiconductor International, Inc. - Common Stock"
FCSC,NASDAQ Capital Market,Fibrocell Science Inc - Common Stock
FCTY,NASDAQ Capital Market,"1st Century Bancshares, Inc - Common Stock"
FCVA,NASDAQ Capital Market,"First Capital Bancorp, Inc. (VA) - Common Stock"
FCZA,NASDAQ Capital Market,First Citizens Banc Corp. - Common Stock
FCZAP,NASDAQ Capital Market,"First Citizens Banc Corp. - Depositary Shares Each Representing a 1/40th Interest in a 6.50% Noncumulative Redeemable Convertible Perpetual Preferred Share, Series B"
FDEF,NASDAQ Global Select Market,First Defiance Financial Corp. - Common Stock
FDIV,NASDAQ Global Market,First Trust Strategic Income ETF
FDML,NASDAQ Global Select Market,Federal-Mogul Holdings Corporation - Class A Common Stock
FDUS,NASDAQ Global Select Market,Fidus Investment Corporation - Common Stock
FEIC,NASDAQ Global Select Market,FEI Company - Common Stock
FEIM,NASDAQ Global Market,"Frequency Electronics, Inc. - Common Stock"
FELE,NASDAQ Global Select Market,"Franklin Electric Co., Inc. - Common Stock"
FEMB,NASDAQ Global Market,First Trust Emerging Markets Local Currency Bond ETF
FES,NASDAQ Global Market,Forbes Energy Services Ltd - Ordinary shares (Bermuda)
FEUZ,NASDAQ Global Market,First Trust Eurozone AlphaDEX ETF
FEYE,NASDAQ Global Select Market,"FireEye, Inc. - Common Stock"
FFBC,NASDAQ Global Select Market,First Financial Bancorp. - Common Stock
FFBCW,NASDAQ Global Select Market,First Financial Bancorp. - Warrant 12/23/2018
FFHL,NASDAQ Global Market,"Fuwei Films (Holdings) Co., Ltd. - ORDINARY SHARES"
FFIC,NASDAQ Global Select Market,Flushing Financial Corporation - Common Stock
FFIN,NASDAQ Global Select Market,"First Financial Bankshares, Inc. - Common Stock"
FFIV,NASDAQ Global Select Market,"F5 Networks, Inc. - Common Stock"
FFKT,NASDAQ Global Select Market,Farmers Capital Bank Corporation - Common Stock
FFNM,NASDAQ Capital Market,"First Federal of Northern Michigan Bancorp, Inc. - Common Stock"
FFNW,NASDAQ Global Select Market,"First Financial Northwest, Inc. - Common Stock"
FFWM,NASDAQ Global Market,First Foundation Inc. - Common Stock
FGEN,NASDAQ Global Select Market,"FibroGen, Inc - Common Stock"
FHCO,NASDAQ Capital Market,Female Health Company (The) - Common Stock
FIBK,NASDAQ Global Select Market,"First Interstate BancSystem, Inc. - Class A Common Stock"
FINL,NASDAQ Global Select Market,"The Finish Line, Inc. - Class A Common Stock"
FISH,NASDAQ Global Market,"Marlin Midstream Partners, LP - Common Units representing Limited Partner Interests."
FISI,NASDAQ Global Select Market,"Financial Institutions, Inc. - Common Stock"
FISV,NASDAQ Global Select Market,"Fiserv, Inc. - Common Stock"
FITB,NASDAQ Global Select Market,Fifth Third Bancorp - Common Stock
FITBI,NASDAQ Global Select Market,Fifth Third Bancorp - Depositary Share repstg 1/1000th Ownership Interest Perp Pfd Series I
FIVE,NASDAQ Global Select Market,"Five Below, Inc. - Common Stock"
FIVN,NASDAQ Global Market,"Five9, Inc. - Common Stock"
FIZZ,NASDAQ Global Select Market,National Beverage Corp. - Common Stock
FLAT,NASDAQ Global Market,Barclays PLC - iPath US Treasury Flattener ETN
FLDM,NASDAQ Global Select Market,Fluidigm Corporation - Common Stock
FLEX,NASDAQ Global Select Market,Flextronics International Ltd. - Ordinary Shares
FLIC,NASDAQ Capital Market,The First of Long Island Corporation - Common Stock
FLIR,NASDAQ Global Select Market,"FLIR Systems, Inc. - Common Stock"
FLL,NASDAQ Capital Market,"Full House Resorts, Inc. - Common Stock"
FLML,NASDAQ Global Market,Flamel Technologies S.A. - American Depositary Shares each representing one Ordinary Share
FLWS,NASDAQ Global Select Market,"1-800 FLOWERS.COM, Inc. - Class A Common Stock"
FLXN,NASDAQ Global Market,"Flexion Therapeutics, Inc. - Common Stock"
FLXS,NASDAQ Global Select Market,"Flexsteel Industries, Inc. - Common Stock"
FMB,NASDAQ Global Market,First Trust Managed Municipal ETF
FMBH,NASDAQ Global Market,"First Mid-Illinois Bancshares, Inc. - Common Stock"
FMBI,NASDAQ Global Select Market,"First Midwest Bancorp, Inc. - Common Stock"
FMER,NASDAQ Global Select Market,FirstMerit Corporation - Common Stock
FMI,NASDAQ Global Select Market,"Foundation Medicine, Inc. - Common Stock"
FMNB,NASDAQ Capital Market,Farmers National Banc Corp. - Common Stock
FNBC,NASDAQ Global Select Market,First NBC Bank Holding Company - Common Stock
FNFG,NASDAQ Global Select Market,First Niagara Financial Group Inc. - Common Stock
FNGN,NASDAQ Global Select Market,"Financial Engines, Inc. - Common Stock"
FNHC,NASDAQ Global Market,Federated National Holding Company - Common Stock
FNJN,NASDAQ Capital Market,"Finjan Holdings, Inc. - Common Stock"
FNLC,NASDAQ Global Select Market,"First Bancorp, Inc (ME) - Common Stock"
FNRG,NASDAQ Capital Market,ForceField Energy Inc. - Common Stock
FNSR,NASDAQ Global Select Market,Finisar Corporation - Common Stock
FOLD,NASDAQ Global Market,"Amicus Therapeutics, Inc. - Common Stock"
FOMX,NASDAQ Global Market,Foamix Pharmaceuticals Ltd. - Ordinary Shares
FONE,NASDAQ Global Market,First Trust NASDAQ CEA Smartphone Index Fund
FONR,NASDAQ Capital Market,Fonar Corporation - Common Stock
FORD,NASDAQ Capital Market,"Forward Industries, Inc. - Common Stock"
FORM,NASDAQ Global Select Market,"FormFactor, Inc. - Common Stock"
FORR,NASDAQ Global Select Market,"Forrester Research, Inc. - Common Stock"
FORTY,NASDAQ Global Select Market,Formula Systems (1985) Ltd. - ADS represents 1 ordinary shares
FOSL,NASDAQ Global Select Market,"Fossil Group, Inc. - Common Stock"
FOX,NASDAQ Global Select Market,"Twenty-First Century Fox, Inc. - Class B Common Stock"
FOXA,NASDAQ Global Select Market,"Twenty-First Century Fox, Inc. - Class A Common Stock"
FOXF,NASDAQ Global Select Market,Fox Factory Holding Corp. - Common Stock
