symbol,group,name
AGII,NASDAQ Global Select Market,"Argo Group International Holdings, Ltd. - Common Stock"
AGIIL,NASDAQ Global Select Market,"Argo Group International Holdings, Ltd. - 6.5% Senior Notes Due 2042"
AGIO,NASDAQ Global Select Market,"Agios Pharmaceuticals, Inc. - Common Stock"
AGNC,NASDAQ Global Select Market,American Capital Agency Corp. - Common Stock
AGNCB,NASDAQ Global Select Market,American Capital Agency Corp. - Depositary Shares representing 1/1000th Series B Preferred Stock
AGNCP,NASDAQ Global Select Market,American Capital Agency Corp. - Cumulative Preferred Series A
AGND,NASDAQ Global Market,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund
AGRX,NASDAQ Global Market,"Agile Therapeutics, Inc. - Common Stock"
AGTC,NASDAQ Global Market,Applied Genetic Technologies Corporation - Common Stock
AGYS,NASDAQ Global Select Market,"Agilysys, Inc. - Common Stock"
AGZD,NASDAQ Global Market,WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund
AHGP,NASDAQ Global Select Market,"Alliance Holdings GP, L.P. - Common Units Representing Limited Partner Interests"
AHPI,NASDAQ Global Market,"Allied Healthcare Products, Inc. - Common Stock"
AIMC,NASDAQ Global Select Market,Altra Industrial Motion Corp. - Common Stock
AINV,NASDAQ Global Select Market,Apollo Investment Corporation - Closed End Fund
AIQ,NASDAQ Global Market,"Alliance HealthCare Services, Inc. - Common Stock"
AIRM,NASDAQ Global Select Market,Air Methods Corporation - Common Stock
AIRR,NASDAQ Global Market,First Trust RBA American Industrial Renaissance ETF
AIRT,NASDAQ Capital Market,"Air T, Inc. - Common Stock"
AIXG,NASDAQ Global Select Market,"Aixtron SE - American Depositary Shares, each representing one Ordinary Share"
AKAM,NASDAQ Global Select Market,"Akamai Technologies, Inc. - Common Stock"
AKAO,NASDAQ Global Market,"Achaogen, Inc. - Common Stock"
AKBA,NASDAQ Global Market,"Akebia Therapeutics, Inc. - Common Stock"
AKER,NASDAQ Capital Market,Akers Biosciences Inc - Common Stock
AKRX,NASDAQ Global Select Market,"Akorn, Inc. - Common Stock"
ALCO,NASDAQ Global Select Market,"Alico, Inc. - Common Stock"
ALDR,NASDAQ Global Market,"Alder BioPharmaceuticals, Inc. - Common Stock"
ALDX,NASDAQ Capital Market,"Aldeyra Therapeutics, Inc. - Common Stock"
ALGN,NASDAQ Global Select Market,"Align Technology, Inc. - Common Stock"
ALGT,NASDAQ Global Select Market,Allegiant Travel Company - Common Stock
ALIM,NASDAQ Global Market,"Alimera Sciences, Inc. - Common Stock"
ALKS,NASDAQ Global Select Market,Alkermes plc - Ordinary Shares
ALLB,NASDAQ Global Market,"Alliance Bancorp, Inc. of Pennsylvania - Common Stock"
ALLT,NASDAQ Global Select Market,Allot Communications Ltd. - Ordinary Shares
ALNY,NASDAQ Global Select Market,"Alnylam Pharmaceuticals, Inc. - Common Stock"
ALOG,NASDAQ Global Select Market,Analogic Corporation - Common Stock
ALOT,NASDAQ Global Market,"Astro-Med, Inc. - Common Stock"
ALQA,NASDAQ Capital Market,"Alliqua, Inc. - Common Stock"
ALSK,NASDAQ Global Select Market,"Alaska Communications Systems Group, Inc. - Common Stock"
ALTR,NASDAQ Global Select Market,Altera Corporation - Common Stock
ALXA,NASDAQ Global Market,"Alexza Pharmaceuticals, Inc. - Common Stock"
ALXN,NASDAQ Global Select Market,"Alexion Pharmaceuticals, Inc. - Common Stock"
AMAG,NASDAQ Global Select Market,"AMAG Pharmaceuticals, Inc. - Common Stock"
AMAT,NASDAQ Global Select Market,"Applied Materials, Inc. - Common Stock"
AMBA,NASDAQ Global Select Market,"Ambarella, Inc. - Ordinary Shares"
AMBC,NASDAQ Global Select Market,"Ambac Financial Group, Inc. - Common Stock"
AMBCW,NASDAQ Global Select Market,"Ambac Financial Group, Inc. - Warrants"
AMCC,NASDAQ Global Select Market,Applied Micro Circuits Corporation - Common Stock
AMCF,NASDAQ Capital Market,Andatee China Marine Fuel Services Corporation - Common Stock
AMCN,NASDAQ Global Select Market,"AirMedia Group Inc - American Depositary Shares, each representing two ordinary shares"
AMCX,NASDAQ Global Select Market,AMC Networks Inc. - Class A Common Stock
AMD,NASDAQ Capital Market,"Advanced Micro Devices, Inc. - Common Stock"
AMDA,NASDAQ Capital Market,Amedica Corporation - Common Stock
AMED,NASDAQ Global Select Market,Amedisys Inc - Common Stock
AMGN,NASDAQ Global Select Market,Amgen Inc. - Common Stock
AMIC,NASDAQ Global Market,American Independence Corp. - Common Stock
AMKR,NASDAQ Global Select Market,"Amkor Technology, Inc. - Common Stock"
AMNB,NASDAQ Global Select Market,"American National Bankshares, Inc. - Common Stock"
AMOT,NASDAQ Global Market,"Allied Motion Technologies, Inc. - Common Stock"
AMOV,NASDAQ Global Select Market,"America Movil, S.A.B. de C.V. - American Depositary Shares, each representing 20 A Shares"
AMPH,NASDAQ Global Select Market,"Amphastar Pharmaceuticals, Inc. - Common Stock"
AMRB,NASDAQ Global Select Market,American River Bankshares - Common Stock
AMRI,NASDAQ Global Select Market,"Albany Molecular Research, Inc. - Common Stock"
AMRK,NASDAQ Global Select Market,"A-Mark Precious Metals, Inc. - Common Stock"
