symbol,group,description
AKER,US Equity,AKERS BIOSCIENCES INC
AKR,US Equity,Acadia Realty Trust
AKRX,US Equity,Akorn Inc.
AKS,US Equity,AK Steel Holding Corp.
AL,US Equity,AIR LEASE CORP
ALB,US Equity,Albemarle Corp.
ALBO,US Equity,Albireo Pharma Inc
ALCO,US Equity,Alico Inc.
ALDR,US Equity,ALDER BIOPHARMACEUTICALS INC
ALDW,US Equity,ALON USA PARTNERS LP
ALDX,US Equity,ALDEYRA THERAPEUTICS INC
ALE,US Equity,Allete Inc.
ALEX,US Equity,ALEXANDER & BALDWIN INC
ALG,US Equity,Alamo Group Inc.
ALGN,US Equity,Align Technology Inc.
ALGT,US Equity,Allegiant Travel Co.
ALIM,US Equity,ALIMERA SCIENCES INC
ALJ,US Equity,Alon USA Energy Inc.
ALK,US Equity,Alaska Air Group Inc.
ALKS,US Equity,Alkermes PLC
ALL,US Equity,Allstate Corp.
ALLY,US Equity,Ally Finl Inc
ALNY,US Equity,Alnylam Pharmaceuticals Inc.
ALOG,US Equity,Analogic Corp.
ALOT,US Equity,Astro-Med Inc.
ALR,US Equity,Alere Inc.
ALRM,US Equity,ALARM COM HLDGS INC
ALSK,US Equity,Alaska Communications Systems Group Inc
ALSN,US Equity,ALLISON TRANSMISSION HLDGS INC
ALV,US Equity,AUTOLIV INC
ALX,US Equity,Alexander's Inc.
ALXN,US Equity,Alexion Pharmaceuticals Inc.
AM,US Equity,ANTERO MIDSTREAM PARTNERS LP
AMAG,US Equity,AMAG Pharmaceuticals Inc.
AMAT,US Equity,Applied Materials Inc.
AMBA,US Equity,AMBARELLA INC
AMBR,US Equity,AMBER RD INC
AMC,US Equity,AMC ENTMT HLDGS INC
AMCC,US Equity,Applied Micro Circuits Corp.
AMCX,US Equity,AMC NETWORKS INC
AMD,US Equity,Advanced Micro Devices Inc.
AMDA,US Equity,Amedica Corp
AME,US Equity,Ametek Inc.
AMED,US Equity,Amedisys Inc.
AMG,US Equity,Affiliated Managers Group Inc.
AMGN,US Equity,Amgen Inc.
AMH,US Equity,AMERICAN HOMES 4 RENT
AMID,US Equity,AMERICAN MIDSTREAM PARTNERS
AMKR,US Equity,Amkor Technology Inc.
AMMA,US Equity,ALLIANCE MMA INC
AMN,US Equity,AMN Healthcare Services Inc.
AMNB,US Equity,American National Bankshares Inc.
AMOT,US Equity,Allied Motion Technologies Inc.
AMP,US Equity,Ameriprise Financial Inc.
AMPE,US Equity,AMPIO PHARMACEUTICALS INC
AMPH,US Equity,Amphastar Pharmaceutical
AMRB,US Equity,American River Bankshares
AMRC,US Equity,AMERESCO INC
AMRI,US Equity,Albany Molecular Research Inc.
AMRS,US Equity,AMYRIS INC
AMS,US Equity,American Shared Hospital Services
AMSC,US Equity,American Superconductor Corp.
AMSF,US Equity,AMERISAFE Inc.
AMSWA,US Equity,American Software Inc.
AMT,US Equity,American Tower Corp. Cl A
AMTD,US Equity,TD Ameritrade Holding Corp.
AMTY,US Equity,Amerityre Corp.
AMWD,US Equity,American Woodmark Corp.
AMZN,US Equity,Amazon.com Inc.
AN,US Equity,AutoNation Inc.
ANAT,US Equity,American National Insurance Co.
ANCX,US Equity,Access National Corp.
ANDE,US Equity,Andersons Inc.
ANDR,US Equity,Andrea Electronics Corp.
ANET,US Equity,ARISTA NETWORKS INC
ANF,US Equity,Abercrombie & Fitch Co.
ANGI,US Equity,ANGIES LIST INC
ANGO,US Equity,AngioDynamics Inc.
ANH,US Equity,Anworth Mortgage Asset Corp.
ANIK,US Equity,Anika Therapeutics Inc.
ANIP,US Equity,Ani Pharmaceuticals Inc
ANSS,US Equity,Ansys Inc.
ANTH,US Equity,ANTHERA PHARMACEUTICALS INC
ANTM,US Equity,Anthem Inc.
AOI,US Equity,Alliance One International Inc.
AOS,US Equity,A.O. Smith Corp.
AOSL,US Equity,ALPHA & OMEGA SEMICONDUCTOR
AP,US Equity,Ampco-Pittsburgh Corp.
APA,US Equity,Apache Corp.
APAM,US Equity,ARTISAN PARTNERS ASSET MGMT
APC,US Equity,Anadarko Petroleum Corp.
APD,US Equity,Air Products & Chemicals Inc.
APDN,US Equity,APPLIED DNA SCIENCES INC
APEI,US Equity,American Public Education Inc.
APEN,US Equity,Apollo Endosurgery Inc
APFH,US Equity,ADVANCEPIERRE FOODS HLDGS IN
APH,US Equity,Amphenol Corp. Cl A
APLE,US Equity,APPLE HOSPITALITY REIT INC
APLP,US Equity,Archrock Partners L P
APOG,US Equity,Apogee Enterprises Inc.
APOL,US Equity,Apollo Group Inc.
APPF,US Equity,APPFOLIO INC
APRI,US Equity,NexMed Inc.
APTI,US Equity,APPTIO INC
APTS,US Equity,PREFERRED APT CMNTYS INC
APU,US Equity,Amerigas Partners L.P.
APVO,US Equity,APTEVO THERAPEUTICS INC
AQMS,US Equity,AQUA METALS INC COM
AR,US Equity,ANTERO RES CORP
ARA,US Equity,American Renal Associat
ARAY,US Equity,Accuray Inc.
ARC,US Equity,American Reprographics Co.
ARCB,US Equity,Arcbest Corp
ARCC,US Equity,Ares Cap Corp
ARCH,US Equity,ARCH COAL INC
ARCI,US Equity,Appliance Recycling Centers of America Inc.
ARDX,US Equity,ARDELYX INC
ARE,US Equity,Alexandria Real Estate Equities Inc.
ARES,US Equity,ARES MGMT L P
AREX,US Equity,Approach Resources Inc.
ARGS,US Equity,ARGOS THERAPEUTICS INC
ARI,US Equity,APOLLO COML REAL EST FIN INC
ARIA,US Equity,Ariad Pharmaceuticals Inc.
ARII,US Equity,American Railcar Industries Inc.
ARKR,US Equity,ARK Restaurants Corp.
ARL,US Equity,American Realty Investors Inc.
ARLP,US Equity,Alliance Resource Partners L.P.
ARMK,US Equity,ARAMARK HLDGS CORP
ARNA,US Equity,Arena Pharmaceuticals Inc.
ARNC,US Equity,Arconic Inc
AROC,US Equity,Archrock Inc
AROW,US Equity,Arrow Financial Corp.
ARQL,US Equity,ArQule Inc.
ARR,US Equity,ARMOUR RESIDENTIAL REIT INC
ARRS,US Equity,Arris Intl Inc
ARRY,US Equity,Array BioPharma Inc.
ARTNA,US Equity,Artesian Resources
ARTW,US Equity,Art's Way Manufacturing Co.
ARTX,US Equity,Arotech Corp.
ARW,US Equity,Arrow Electronics Inc.
ARWR,US Equity,Arrowhead Pharmaceuticals In
ASB,US Equity,Associated Banc-Corp
ASCMA,US Equity,Ascent Media Corp
ASFI,US Equity,Asta Funding Inc.
ASGN,US Equity,On Assignment Inc.
ASH,US Equity,Ashland Global Hldgs Inc
ASIX,US Equity,ADVANSIX INC
ASMB,US Equity,Assembly Biosciences Inc
ASNA,US Equity,Ascena Retail
ASPN,US Equity,ASPEN AEROGELS INC
ASRV,US Equity,AmeriServ Financial Inc.
ASTC,US Equity,Astrotech Corp
ASTE,US Equity,Astec Industries Inc.
ASTI,US Equity,Ascent Solar Technologies Inc.
ASUR,US Equity,Forgent Networks Inc.
ASYS,US Equity,Amtech Systems Inc.
AT,US Equity,ATLANTIC PWR CORP
ATEC,US Equity,Alphatec Holdings Inc
ATEN,US Equity,A10 NETWORKS INC
ATHN,US Equity,athenahealth Inc.
ATI,US Equity,Allegheny Technologies Inc.
ATKR,US Equity,Atkore Intl Group Inc
ATLC,US Equity,CompuCredit Corp.
ATLO,US Equity,Ames National Corp.
ATNI,US Equity,Atn Intl Inc
ATO,US Equity,Atmos Energy Corp.
ATOM,US Equity,ATOMERA INC
ATOS,US Equity,ATOSSA GENETICS INC
ATR,US Equity,Aptargroup Inc.
ATRA,US Equity,ATARA BIOTHERAPEUTICS INC
ATRC,US Equity,AtriCure Inc.
ATRI,US Equity,Atrion Corp.
ATRO,US Equity,Astronics Corp.
ATRS,US Equity,Antares Pharma Inc.
ATSG,US Equity,Air Transport Services Group Inc.
ATU,US Equity,Actuant Corp. Cl A
ATVI,US Equity,Activision Blizzard Inc.
ATW,US Equity,Atwood Oceanics Inc.
AUMN,US Equity,GOLDEN MINERALS CO
AVA,US Equity,Avista Corp.
AVAV,US Equity,AeroVironment Inc.
AVB,US Equity,Avalonbay Communities Inc.
AVD,US Equity,American Vanguard Corp.
AVEO,US Equity,AVEO PHARMACEUTICALS INC
AVGR,US Equity,AVINGER INC
AVHI,US Equity,AV HOMES INC COM
AVID,US Equity,Avid Technology Inc.
AVIR,US Equity,Aviragen Therapeutics Inc
AVNW,US Equity,Harris Stratex Networks Inc.
AVP,US Equity,Avon Products Inc.
AVT,US Equity,Avnet Inc.
AVX,US Equity,AVX Corp.
AVXS,US Equity,AveXis Inc
AVY,US Equity,Avery Dennison Corp.
AWI,US Equity,Armstrong World Industries Inc.
AWK,US Equity,American Water Works Co.
AWR,US Equity,American States Water Co.
AWRE,US Equity,Aware Inc.
AWX,US Equity,Avalon Holdings Corp.
AXAS,US Equity,Abraxas Petroleum Corp.
AXDX,US Equity,Accelerate Diagnostics
AXE,US Equity,Anixter International Inc.
AXGN,US Equity,Axogen Inc
AXL,US Equity,American Axle & Manufacturing Holdings In
AXP,US Equity,American Express Co.
AXPW,US Equity,AXION PWR INTL INC
AXR,US Equity,Amrep Corp.
AXS,US Equity,Axis Capital Holdings Ltd.
AXSM,US Equity,AXSOME THERAPEUTICS INC
AXTA,US Equity,Axalta Coating Sys Ltd
AXTI,US Equity,AXT Inc.
AYI,US Equity,Acuity Brands Inc.
AYR,US Equity,Aircastle Ltd.
AYTU,US Equity,Aytu Bioscience Inc
AZO,US Equity,AutoZone Inc.
AZPN,US Equity,ASPEN TECHNOLOGY INC
AZRX,US Equity,AZURRX BIOPHARMA INC
AZUR,US Equity,Azure Midstream Partners LP
AZZ,US Equity,AZZ Inc.
B,US Equity,Barnes Group Inc.
BA,US Equity,Boeing Co.
BABY,US Equity,Natus Medical Inc.
BAC,US Equity,Bank of America Corp.
BAH,US Equity,BOOZ ALLEN HAMILTON HLDG COR
BANC,US Equity,Banc Calif Inc
BANF,US Equity,BancFirst Corp.
BANR,US Equity,Banner Corp.
BAS,US Equity,Basic Energy Services Inc.
BASI,US Equity,Bioanalytical Systems Inc.
BATRA,US Equity,Liberty Braves Group-A
BATS,US Equity,Bats Global Mkts Inc
BAX,US Equity,Baxter International Inc.
BBBY,US Equity,Bed Bath & Beyond Inc.
BBG,US Equity,Bill Barrett Corp.
BBGI,US Equity,Beasley Broadcast Group Inc.
BBOX,US Equity,Black Box Corp.
BBRG,US Equity,BRAVO BRIO RESTAURANT GROUP
BBSI,US Equity,Barrett Business Services Inc.
BBT,US Equity,BB&T Corp.
BBW,US Equity,Build-A-Bear Workshop Inc.
BBY,US Equity,Best Buy Co. Inc.
BC,US Equity,Brunswick Corp.
BCBP,US Equity,BCB Bancorp Inc.
BCC,US Equity,Boise Cascade Co
BCEI,US Equity,BONANZA CREEK ENERGY INC
BCO,US Equity,Brink's Co.
BCOR,US Equity,Blucora Inc
BCOV,US Equity,Brightcove Inc
BCPC,US Equity,Balchem Corp.
BCR,US Equity,C.R. Bard Inc.
BCRX,US Equity,BioCryst Pharmaceuticals Inc.
BDC,US Equity,Belden Inc.
BDE,US Equity,Black Diamond Inc
BDGE,US Equity,Bridge Bancorp Inc.
BDN,US Equity,Brandywine Realty Trust
BDSI,US Equity,BioDelivery Sciences International Inc.
BDX,US Equity,Becton Dickinson & Co.
BEAT,US Equity,CardioNet Inc.
BEAV,US Equity,BE Aerospace Inc.
BEBE,US Equity,bebe stores inc.
BECN,US Equity,Beacon Roofing Supply Inc.
BELFB,US Equity,Bel Fuse Inc.
BEN,US Equity,Franklin Resources Inc.
BERY,US Equity,BERRY PLASTICS GROUP INC
BETR,US Equity,AMPLIFY SNACK BRANDS
BF/B,US Equity,Brown-Forman Corp.
BFAM,US Equity,BRIGHT HORIZONS FAM SOL IN D
BFIN,US Equity,BankFinancial Corp.
BFS,US Equity,Saul Centers Inc.
BG,US Equity,Bunge Ltd.
BGC,US Equity,General Cable Corp.
BGCP,US Equity,BGC Partners Inc.
BGFV,US Equity,Big 5 Sporting Goods Corp.
BGG,US Equity,Briggs & Stratton Corp.
BGS,US Equity,B&G Foods Inc. Cl A
BH,US Equity,Steak N Shake Co.
BHB,US Equity,Bar Harbor Bankshares
BHBK,US Equity,Blue Hills Bancorp Inc
BHE,US Equity,Benchmark Electronics Inc.
BHI,US Equity,Baker Hughes Inc.
BHLB,US Equity,Berkshire Hills Bancorp Inc.
BID,US Equity,Sotheby's
BIG,US Equity,Big Lots Inc.
BIIB,US Equity,Biogen Idec Inc.
BIO,US Equity,Bio-Rad Laboratories Inc. Cl A
BIOC,US Equity,BIOCEPT INC
BIOL,US Equity,Biolase Technology Inc.
BIOP,US Equity,Bioptix Inc
BIOS,US Equity,BioScrip Inc.
BJRI,US Equity,BJ's Restaurants Inc.
BK,US Equity,Bank of New York Mellon Corp.
BKCC,US Equity,Blackrock Kelso Capital
BKD,US Equity,Brookdale Senior Living Inc.
BKE,US Equity,Buckle Inc.
BKEP,US Equity,BLUEKNIGHT ENERGY PARTNERS L
BKFS,US Equity,BLACK KNIGHT FINL SVCS INC
BKH,US Equity,Black Hills Corp.
BKMU,US Equity,Bank Mutual Corp.
BKS,US Equity,Barnes & Noble Inc.
BKSC,US Equity,Bank of South Carolina Corp.
BKU,US Equity,BANKUNITED INC
BL,US Equity,BLACKLINE INC
BLCM,US Equity,BELLICUM PHARMACEUTICALS INC
BLD,US Equity,TOPBUILD CORP
BLDR,US Equity,Builders FirstSource Inc.
BLFS,US Equity,BioLife Solutions Inc.
BLIN,US Equity,Bridgeline Digital Inc
BLK,US Equity,BlackRock Inc.
BLKB,US Equity,Blackbaud Inc.
BLL,US Equity,Ball Corp.
BLMN,US Equity,BLOOMIN BRANDS INC
BLMT,US Equity,BSB BANCORP INC MD
