symbol,group,description
CEQP,US Equity,Crestwood Equity Partners LP
CERC,US Equity,CERECOR INC
CERN,US Equity,Cerner Corp.
CERS,US Equity,Cerus Corp.
CERU,US Equity,CERULEAN PHARMA INC
CEVA,US Equity,CEVA Inc.
CF,US Equity,CF Industries Holdings Inc.
CFFI,US Equity,C&F Financial Corp.
CFFN,US Equity,Capitol Federal Financial
CFG,US Equity,CITIZENS FINL GROUP INC
CFI,US Equity,Culp Inc.
CFMS,US Equity,CONFORMIS INC
CFNL,US Equity,Cardinal Financial Corp.
CFR,US Equity,Cullen/Frost Bankers Inc.
CFX,US Equity,Colfax Corp.
CG,US Equity,CARLYLE GROUP L P
CGI,US Equity,Celadon Group Inc.
CGIX,US Equity,CANCER GENETICS INC
CGNT,US Equity,Cogentix Med Inc
CGNX,US Equity,Cognex Corp.
CHCI,US Equity,Comstock Homebuilding Cos. Inc.
CHCO,US Equity,City Holding Co.
CHCT,US Equity,COMMUNITY HEALTHCARE TR INC
CHD,US Equity,Church & Dwight Co.
CHDN,US Equity,Churchill Downs Inc.
CHE,US Equity,Chemed Corp.
CHEF,US Equity,CHEFS WHSE INC
CHFC,US Equity,Chemical Financial Corp.
CHFN,US Equity,Charter Financial Corp.
CHGG,US Equity,CHEGG INC
CHH,US Equity,Choice Hotels International Inc.
CHK,US Equity,Chesapeake Energy Corp.
CHKE,US Equity,Cherokee Inc.
CHMA,US Equity,CHIASMA INC
CHMG,US Equity,CHEMUG FINL CORP
CHMI,US Equity,CHERRY HILL MTG INVT CORP
CHMT,US Equity,CHEMTURA CORP
CHRS,US Equity,Coherus Biosciences Inc
CHRW,US Equity,C.H. Robinson Worldwide Inc.
CHS,US Equity,Chico's Fas Inc.
CHSP,US Equity,CHESAPEAKE LODGING TR
CHTR,US Equity,Charter Communications Inc N
CHUBA,US Equity,COMMERCEHUB INC
CHUBK,US Equity,COMMERCEHUB INC COM SER C
CHUY,US Equity,CHUYS HLDGS INC
CI,US Equity,CIGNA Corp.
CIA,US Equity,Citizens Inc.
CIDM,US Equity,Access Integrated Technologies Inc.  Cl 
CIE,US Equity,COBALT INTL ENERGY INC
CIEN,US Equity,Ciena Corp.
CIM,US Equity,Chimera Investment Corp.
CINF,US Equity,Cincinnati Financial Corp.
CINR,US Equity,Ciner Res Lp
CIR,US Equity,Circor International Inc.
CIT,US Equity,Cit Group Inc
CIVB,US Equity,Civista Bancshares Inc
CIVI,US Equity,CIVITAS SOLUTIONS INC
CKH,US Equity,SEACOR Holding Inc.
CL,US Equity,Colgate-Palmolive Co.
CLBH,US Equity,CAROLINA BK HLDGS IN
CLBS,US Equity,Caladrius Biosciences Inc
CLC,US Equity,Clarcor Inc.
CLCD,US Equity,COLUCID PHARMACEUTICALS INC
CLCT,US Equity,Collectors Universe Inc.
CLD,US Equity,CLOUD PEAK ENERGY INC
CLDT,US Equity,CHATHAM LODGING TR
CLDX,US Equity,Celldex Therapeutics Inc.
CLF,US Equity,Cliffs Natural Resources Inc.
CLFD,US Equity,Clearfield Inc.
CLGX,US Equity,CORELOGIC INC
CLH,US Equity,Clean Harbors Inc.
CLI,US Equity,Mack-Cali Realty Corp.
CLIR,US Equity,CLEARSIGN COMBUSTION CORP
CLMS,US Equity,Calamos Asset Management Inc.
CLMT,US Equity,Calumet Specialty Products Partners L.P.
CLNE,US Equity,Clean Energy Fuels Corp.
CLNY,US Equity,COLONY FINL INC
CLR,US Equity,Continental Resources Inc.
CLRB,US Equity,Cellectar Biosciences
CLRO,US Equity,ClearOne Communications Inc.
CLSD,US Equity,Clearside Biomedical In
CLSN,US Equity,Celsion Corp.
CLUB,US Equity,Town Sports International Holdings Inc.
CLVS,US Equity,CLOVIS ONCOLOGY INC
CLW,US Equity,Clearwater Paper Corp.
CLX,US Equity,Clorox Co.
CMA,US Equity,Comerica Inc.
CMC,US Equity,Commercial Metals Co.
CMCO,US Equity,Columbus McKinnon Corp.
CMCSA,US Equity,Comcast Corp.
CMCT,US Equity,Cim Coml Tr Corp
CMD,US Equity,Cantel Medical Corp.
CME,US Equity,CME Group Inc.
CMFN,US Equity,CM FIN INC
CMG,US Equity,Chipotle Mexican Grill Inc.
CMI,US Equity,Cummins Inc.
CMLS,US Equity,Cumulus Media Inc.
CMO,US Equity,Capstead Mortgage Corp.
CMP,US Equity,Compass Minerals International Inc.
CMRX,US Equity,CHIMERIX INC
CMS,US Equity,CMS Energy Corp.
CMT,US Equity,Core Molding Technologies Inc.
CMTL,US Equity,Comtech Telecommunications Corp.
CNA,US Equity,CNA Financial Corp.
CNAT,US Equity,CONATUS PHARMACEUTICALS INC
CNBKA,US Equity,Century Bancorp Inc.
CNC,US Equity,Centene Corp.
CNCE,US Equity,CONCERT PHARMACEUTICALS INC
CNFR,US Equity,CONIFER HLDGS INC
CNK,US Equity,Cinemark Holdings Inc.
CNMD,US Equity,CONMED Corp.
CNNX,US Equity,CONE MIDSTREAM PARTNERS LP
CNO,US Equity,Conseco Inc.
CNOB,US Equity,Connectone Bancorp Inc New
CNP,US Equity,CenterPoint Energy Inc.
CNS,US Equity,Cohen & Steers Inc.
CNSL,US Equity,Consolidated Communications Holdings Inc
CNTY,US Equity,Century Casinos Inc.
CNX,US Equity,Consol Energy Inc.
CNXC,US Equity,CNX COAL RESOURCES LP
CNXN,US Equity,PC Connection Inc.
CNXR,US Equity,CONNECTURE INC
COBZ,US Equity,CoBiz Financial Inc.
COF,US Equity,Capital One Financial Corp.
COG,US Equity,Cabot Oil & Gas Corp.
COH,US Equity,Coach Inc.
COHR,US Equity,Coherent Inc.
COHU,US Equity,Cohu Inc.
COKE,US Equity,Coca-Cola Bottling Co. Consolidated
COL,US Equity,Rockwell Collins Inc.
COLB,US Equity,Columbia Banking System Inc.
COLL,US Equity,COLLEGIUM PHARMACEUTICAL INC
COLM,US Equity,Columbia Sportswear Co.
COMM,US Equity,COMMSCOPE HLDG CO INC
CONE,US Equity,CYRUSONE INC
CONN,US Equity,Conn's Inc.
COO,US Equity,Cooper Cos.
COOL,US Equity,Majesco Entertainment Co.
COP,US Equity,ConocoPhillips
COR,US Equity,CORESITE RLTY CORP
CORE,US Equity,Core-Mark Holding Co. Inc.
CORI,US Equity,CORIUM INTL INC
CORR,US Equity,CORENERGY INFRASTRUCTURE TR
CORT,US Equity,Corcept Therapeutics Inc.
COST,US Equity,Costco Wholesale Corp.
COTV,US Equity,COTIVITI HLDGS INC
COTY,US Equity,COTY INC
COUP,US Equity,COUPA SOFTWARE INC
COVS,US Equity,COVISINT CORP
COWN,US Equity,COWEN GROUP INC NEW
CPB,US Equity,Campbell Soup Co.
CPE,US Equity,Callon Petroleum Co.
CPF,US Equity,Central Pacific Financial Corp.
CPIX,US Equity,CUMBERLAND PHARMACEUTICALS I
CPK,US Equity,Chesapeake Utilities Corp.
CPLA,US Equity,Capella Education Co.
CPN,US Equity,Calpine Corp.
CPPL,US Equity,COLUMBIA PIPELINE PARTNERS LP
CPRT,US Equity,Copart Inc.
CPRX,US Equity,Catalyst Pharmaceutical Partners Inc.
CPSI,US Equity,Computer Programs & Systems Inc.
CPSS,US Equity,Consumer Portfolio Services Inc.
CPST,US Equity,Capstone Turbine Corp
CPT,US Equity,Camden Property Trust
CPTA,US Equity,CAPITALA FIN CORP
CQP,US Equity,Cheniere Energy Partners L.P.
CR,US Equity,Crane Co.
CRAI,US Equity,CRA International Inc.
CRAY,US Equity,Cray Inc.
CRC,US Equity,California Res Corp
CRCM,US Equity,CARE COM INC
CRD/B,US Equity,Crawford & Co.
CREE,US Equity,Cree Inc.
CRI,US Equity,Carters Inc.
CRIS,US Equity,Curis Inc.
CRK,US Equity,Comstock Resources Inc.
CRL,US Equity,Charles River Laboratories International Inc
CRM,US Equity,Salesforce.com Inc.
CRMT,US Equity,America's Car-Mart Inc.
CROX,US Equity,Crocs Inc.
CRR,US Equity,Carbo Ceramics Inc.
CRS,US Equity,Carpenter Technology Corp.
CRT,US Equity,Cross Timbers Royalty Trust
CRTN,US Equity,Cartesian Inc
CRUS,US Equity,Cirrus Logic Inc.
CRVL,US Equity,Corvel Corp.
CRVP,US Equity,Crystal Rock Hldgs Inc
CRVS,US Equity,Corvus Pharmaceuticals
CRWS,US Equity,Crown Crafts Inc.
CRXM,US Equity,Cardium Therapeutics Inc.
CRY,US Equity,CryoLife Inc.
CRZO,US Equity,Carrizo Oil & Gas Inc.
CSAL,US Equity,Communications Sales and Leasing Inc.
CSBK,US Equity,Clifton Savings Bancorp Inc.
CSC,US Equity,Computer Sciences Corp.
CSCO,US Equity,Cisco Systems Inc.
CSFL,US Equity,Centerstate Banks of Florida Inc.
CSGP,US Equity,CoStar Group Inc.
CSGS,US Equity,CSG Systems International Inc.
CSII,US Equity,Cardiovascular Systems Inc.
CSL,US Equity,Carlisle Cos.
CSLT,US Equity,CASTLIGHT HEALTH INC
CSOD,US Equity,CORNERSTONE ONDEMAND INC
CSPI,US Equity,CSP Inc.
CSRA,US Equity,CSRA INC
CSS,US Equity,CSS Industries Inc.
CST,US Equity,CST BRANDS INC
CSTR,US Equity,CAPSTAR FINL HLDGS INC
CSU,US Equity,Capital Senior Living Corp.
CSV,US Equity,Carriage Services Inc.
CSWC,US Equity,CAPITAL SOUTHWEST CO
CSWI,US Equity,CSW INDUSTRIALS INC
CSX,US Equity,CSX Corp.
CTAS,US Equity,Cintas Corp.
CTB,US Equity,Cooper Tire & Rubber Co.
CTBI,US Equity,Community Trust Bancorp Inc.
CTG,US Equity,Computer Task group
CTHR,US Equity,Charles & Colvard Ltd.
CTIB,US Equity,CTI Industries Corp.
CTIC,US Equity,Cti Biopharma Corp
CTL,US Equity,CenturyTel Inc.
CTLT,US Equity,CATALENT INC
CTMX,US Equity,CYTOMX THERAPEUTICS INC
CTO,US Equity,Consolidated-Tomoka Land Co.
CTRE,US Equity,Caretrust Reit Inc
CTRL,US Equity,CONTROL4 CORP
CTRN,US Equity,Citi Trends Inc.
CTS,US Equity,CTS Corp.
CTSH,US Equity,Cognizant Technology Solutions Corp.
CTSO,US Equity,CYTOSORBENTS CORP
CTT,US Equity,Catchmark Timber Trust Inc
CTWS,US Equity,Connecticut Water Service Inc.
CTXS,US Equity,Citrix Systems Inc.
CUB,US Equity,Cubic Corp.
CUBE,US Equity,Cubesmart
CUBI,US Equity,CUSTOMERS BANCORP INC
CUI,US Equity,Cui Global Inc
CUNB,US Equity,CU BANCORP CALIF
CUR,US Equity,Neuralstem Inc.
CUTR,US Equity,Cutera Inc.
CUZ,US Equity,Cousins Properties Inc.
CVA,US Equity,Covanta Holding Corp.
CVBF,US Equity,CVB Financial Corp.
CVCO,US Equity,Cavco Industries Inc.
CVCY,US Equity,Central Valley Community Bancorp
CVEO,US Equity,Civeo Corp
CVG,US Equity,Convergys Corp.
CVGI,US Equity,Commercial Vehicle Group Inc.
CVGW,US Equity,Calavo Growers Inc.
CVLT,US Equity,CommVault Systems Inc.
CVLY,US Equity,Codorus Valley Bancorp Inc.
CVM,US Equity,CEL-SCI Corp.
CVO,US Equity,Cenveo Inc.
CVR,US Equity,Chicago Rivet & Machine Co.
CVRR,US Equity,Cvr Refng Lp
CVRS,US Equity,HTG MOLECULAR DIAGNOSTICS IN
CVS,US Equity,CVS Caremark Corp.
CVTI,US Equity,Covenant Transport Group Inc.
CVU,US Equity,CPI Aerostructures Inc.
CVV,US Equity,CVD Equipment Corp.
CVX,US Equity,Chevron Corp.
CW,US Equity,Curtiss-Wright Corp.
CWEI,US Equity,Clayton Williams Energy Inc.
CWGL,US Equity,CRIMSON WINE GROUP LTD
CWH,US Equity,CAMPING WORLD HLDGS INC
CWST,US Equity,Casella Waste Systems Inc.
CWT,US Equity,California Water Service Group
CXO,US Equity,Concho Resources Inc.
CXP,US Equity,Columbia Ppty Tr Inc
CXW,US Equity,Corecivic Inc
CY,US Equity,Cypress Semiconductor Corp.
CYAN,US Equity,Cyanotech Corp.
CYBE,US Equity,CyberOptics Corp.
CYCC,US Equity,Cyclacel Pharmaceuticals Inc.
CYH,US Equity,Community Health Systems Inc.
CYNO,US Equity,Cynosure Inc.
CYRX,US Equity,CRYOPORT INC
CYS,US Equity,CYPRESS SHARPRIDGE INVTS INC
CYTK,US Equity,Cytokinetics Inc.
CYTR,US Equity,CytRx Corp.
CYTX,US Equity,Cytori Therapeutics Inc
CZNC,US Equity,Citizens & Northern Corp.
CZR,US Equity,CAESARS ENTMT CORP
D,US Equity,Dominion Resources Inc. (Virginia)
DAIO,US Equity,Data I/O Corp.
DAKT,US Equity,Daktronics Inc.
DAL,US Equity,Delta Air Lines Inc.
DAN,US Equity,Dana Holding Corp.
DAR,US Equity,Darling International Inc.
DATA,US Equity,Tableau Software Inc
DAVE,US Equity,Famous Dave's of America Inc.
DBD,US Equity,Diebold Inc.
DCI,US Equity,Donaldson Co. Inc.
DCO,US Equity,Ducommun Inc.
DCOM,US Equity,Dime Community Bancshares
DCT,US Equity,DCT Industrial Trust Inc.
DCTH,US Equity,Delcath Systems Inc.
DD,US Equity,E.I. DuPont de Nemours & Co.
DDD,US Equity,3D Systems Corporation
DDE,US Equity,Dover Downs Gaming & Entertainment Inc.
DDR,US Equity,Developers Diversified Realty Corp.
DDS,US Equity,Dillard's Inc.
DE,US Equity,Deere & Co.
DEA,US Equity,EASTERLY GOVT PPTYS INC
DECK,US Equity,Deckers Outdoor Corp.
DEI,US Equity,Douglas Emmett Inc.
DEL,US Equity,Deltic Timber Corp.
DENN,US Equity,Denny's Corp.
DEPO,US Equity,DepoMed Inc.
DERM,US Equity,DERMIRA INC
DEST,US Equity,Destination Maternity Corp.
DF,US Equity,Dean Foods Co.
DFBG,US Equity,Differential Brands Group In
DFIN,US Equity,DONNELLEY FINL SOLUTIONS INC
DFRG,US Equity,DEL FRISCOS RESTAURANT GROUP
DFS,US Equity,Discover Financial Services
DFT,US Equity,Dupont Fabros Technology Inc.
DG,US Equity,DOLLAR GEN CORP NEW
DGAS,US Equity,Delta Natural Gas Co. Inc.
DGI,US Equity,DIGITALGLOBE INC
DGICA,US Equity,Donegal Group Inc.
DGII,US Equity,Digi International Inc.
DGLY,US Equity,Digital Ally Inc.
DGSE,US Equity,DGSE Cos. Inc.
DGX,US Equity,Quest Diagnostics Inc.
DHI,US Equity,D.R. Horton Inc.
DHIL,US Equity,Diamond Hill Investment Group Inc.
DHR,US Equity,Danaher Corp.
DHX,US Equity,Dice Holdings Inc.
DIN,US Equity,DineEquity Inc.
DIOD,US Equity,Diodes Inc.
DIS,US Equity,Walt Disney Co.
DISCA,US Equity,Discovery Communications Inc.
DISH,US Equity,DISH Network Corp.
DK,US Equity,Delek US Holdings Inc.
DKL,US Equity,DELEK LOGISTICS PARTNERS LP
DKS,US Equity,Dick's Sporting Goods Inc.
DLA,US Equity,Delta Apparel Co.
DLB,US Equity,Dolby Laboratories Inc.
DLHC,US Equity,DLH Hldgs Corp
DLR,US Equity,Digital Realty Trust Inc.
DLTH,US Equity,DULUTH HLDGS INC
DLTR,US Equity,Dollar Tree Inc.
DLX,US Equity,Deluxe Corp.
DM,US Equity,DOMINION MIDSTREAM PARTNERS LP
DMLP,US Equity,Dorchester Minerals L.P.
DMRC,US Equity,Digimarc Corp.
DMTX,US Equity,DIMENSION THERAPEUTICS INC
DNAI,US Equity,PRONAI THERAPEUTICS INC
DNB,US Equity,Dun & Bradstreet Corp.
DNKN,US Equity,DUNKIN BRANDS GROUP INC
DNOW,US Equity,Now Inc.
DNR,US Equity,Denbury Resources Inc.
DO,US Equity,Diamond Offshore Drilling Inc.
DOC,US Equity,PHYSICIANS RLTY TR
DORM,US Equity,Dorman Products Inc.
DOV,US Equity,Dover Corp.
DOW,US Equity,Dow Chemical Co.
DPLO,US Equity,DIPLOMAT PHARMACY INC
DPM,US Equity,DCP Midstream Partners L.P.
DPRX,US Equity,DIPEXIUM PHARMACEUTICALS INC
DPS,US Equity,Dr Pepper Snapple Group Inc.
DPW,US Equity,Digital Power Corp.
DPZ,US Equity,Domino's Pizza Inc.
DRAD,US Equity,Digirad Corp.
DRAM,US Equity,Dataram Corp.
DRE,US Equity,Duke Realty Corp.
DRH,US Equity,Diamondrock Hospitality Co.
DRI,US Equity,Darden Restaurants Inc.
DRNA,US Equity,DICERNA PHARMACEUTICALS INC
DRQ,US Equity,Dril-Quip Inc.
DRRX,US Equity,Durect Corp.
DS,US Equity,Drive Shack Inc
DSCI,US Equity,Derma Sciences Inc.
DSPG,US Equity,DSP Group Inc.
DSS,US Equity,Document Sec Sys Inc
DST,US Equity,DST Systems Inc.
DSW,US Equity,DSW Inc.
DTE,US Equity,DTE Energy Co.
DTLK,US Equity,Datalink Corp.
DUK,US Equity,Duke Energy Corp.
DV,US Equity,DeVry Inc.
DVA,US Equity,DaVita Inc.
DVAX,US Equity,Dynavax Technologies Corp.
DVCR,US Equity,Diversicare Healthcare Svcs
DVD,US Equity,Dover Motorsports Inc.
DVN,US Equity,Devon Energy Corp.
DW,US Equity,Drew Industries Inc.
DWCH,US Equity,Datawatch Corp.
DWSN,US Equity,Dawson Geophysical Co New
DX,US Equity,Dynex Capital Inc.
DXCM,US Equity,DexCom Inc.
DXLG,US Equity,Casual Male Retail Group Inc.
DXPE,US Equity,DXP Enterprises Inc.
DXTR,US Equity,Dextera Surgical Inc
DXYN,US Equity,Dixie Group Inc.
DY,US Equity,Dycom Industries Inc.
DYN,US Equity,Dynegy Inc.
DZSI,US Equity,Dasan Zhone Solutions Inc
EA,US Equity,Electronic Arts Inc.
EACIQ,US Equity,Erickson Air Crane Inc
EARN,US Equity,ELLINGTON RESIDENTIAL MTG RE
EAT,US Equity,Brinker International Inc.
EBAY,US Equity,eBay Inc.
EBF,US Equity,Ennis Inc.
EBIO,US Equity,ELEVEN BIOTHERAPEUTICS INC
EBIX,US Equity,Ebix Inc.
EBMT,US Equity,EAGLE BANCORP MONT INC
EBS,US Equity,Emergent Biosolutions Inc.
EBSB,US Equity,Meridian Interstate Bancorp Inc.
EBTC,US Equity,Enterprise Bancorp Inc.
ECHO,US Equity,ECHO GLOBAL LOGISTICS INC
ECL,US Equity,Ecolab Inc.
ECOL,US Equity,American Ecology Corp.
ECOM,US Equity,CHANNELADVISOR CORP
ECPG,US Equity,Encore Capital Group Inc.
ECR,US Equity,ECLIPSE RES CORP
ECYT,US Equity,ENDOCYTE INC
ED,US Equity,Consolidated Edison Inc.
EDE,US Equity,Empire District Electric Co.
EDGE,US Equity,EDGE THERAPEUTICS INC
EDGW,US Equity,Edgewater Technology Inc.
EDIT,US Equity,Editas Medicine Inc
EDR,US Equity,Education Realty Trust Inc.
EDUC,US Equity,Educational Development Corp.
EE,US Equity,El Paso Electric Co.
EEFT,US Equity,Euronet Worldwide Inc.
EEI,US Equity,Ecology & Environment Inc.
EEP,US Equity,Enbridge Energy Partners L.P.
EEQ,US Equity,Enbridge Energy Management L.L.C.
EFC,US Equity,ELLINGTON FINANCIAL LLC
EFII,US Equity,Electronics for Imaging Inc.
EFOI,US Equity,Energy Focus Inc.
EFSC,US Equity,Enterprise Financial Services Corp.
EFX,US Equity,Equifax Inc.
EGAN,US Equity,eGain Communications Corp.
EGAS,US Equity,Energy West Inc.
EGBN,US Equity,Eagle Bancorp Inc.
EGHT,US Equity,8X8 Inc.
EGL,US Equity,ENGILITY HLDGS INC
EGLE,US Equity,Eagle Bulk Shipping Inc
EGLT,US Equity,EGALET CORP
EGN,US Equity,Energen Corp.
EGOV,US Equity,NIC Inc.
EGP,US Equity,EastGroup Properties Inc.
EGRX,US Equity,EAGLE PHARMACEUTICALS INC
EGT,US Equity,Elixir Gaming Technologies Inc.
EGY,US Equity,Vaalco Energy Inc.
EHTH,US Equity,eHealth Inc.
EIG,US Equity,Employers Holdings Inc.
EIGI,US Equity,ENDURANCE INTL GROUP HLDGS INC
EIGR,US Equity,Eiger Biopharmaceuticals Inc
EIX,US Equity,Edison International
EL,US Equity,Estee Lauder Co. Inc.
ELF,US Equity,E L F BEAUTY INC
ELGX,US Equity,Endologix Inc.
ELLI,US Equity,ELLIE MAE INC
ELMD,US Equity,ELECTROMED INC
ELNK,US Equity,EarthLink Inc.
ELON,US Equity,Echelon Corp.
ELS,US Equity,Equity Lifestyle Properties Inc.
ELY,US Equity,Callaway Golf Co.
EMAN,US Equity,eMagin Corp.
EMCI,US Equity,EMC Insurance Group Inc.
EME,US Equity,EMCOR Group Inc.
EMES,US Equity,EMERGE ENERGY SVCS LP
EMG,US Equity,IMPERIAL HLDGS INC
EMKR,US Equity,Emcore Corp.
EML,US Equity,Eastern Co.
EMMS,US Equity,Emmis Communications Corp
EMN,US Equity,Eastman Chemical Co.
EMR,US Equity,Emerson Electric Co.
ENBL,US Equity,ENABLE MIDSTREAM PARTNERS LP
ENDP,US Equity,Endo Pharmaceuticals Holdings Inc.
ENFC,US Equity,ENTEGRA FINL CORP
ENG,US Equity,ENGlobal Corp.
ENH,US Equity,Endurance Specialty Holdings Ltd.
ENLC,US Equity,Enlink Midstream LLC
ENLK,US Equity,ENLINK MIDSTREAM PARTNERS LP
ENOC,US Equity,EnerNOC Inc.
ENPH,US Equity,ENPHASE ENERGY INC
ENR,US Equity,ENERGIZER HLDGS INC NEW
ENS,US Equity,EnerSys Inc.
ENSG,US Equity,Ensign Group Inc.
ENT,US Equity,GLOBAL EAGLE ACQUISITION COR
ENTA,US Equity,ENANTA PHARMACEUTICALS INC
ENTG,US Equity,Entegris Inc.
ENTL,US Equity,ENTELLUS MED INC
ENV,US Equity,ENVESTNET INC
ENVA,US Equity,Enova International Inc.
ENZ,US Equity,Enzo Biochem Inc.
ENZN,US Equity,Enzon Pharmaceuticals Inc.
EOG,US Equity,EOG Resources Inc.
EPAM,US Equity,Epam Sys Inc
EPAY,US Equity,Bottomline Technologies Inc.
EPC,US Equity,Edgewell Pers Care Co
EPD,US Equity,Enterprise Products Partners L.P.
EPE,US Equity,EP ENERGY CORP
EPM,US Equity,Evolution Petroleum Corp.
EPR,US Equity,Entertainment Properties Trust
EPZM,US Equity,EPIZYME INC
EQBK,US Equity,EQUITY BANCSHARES INC
EQC,US Equity,CommonWealth REIT
EQGP,US Equity,EQT GP HLDGS LP
EQIX,US Equity,Equinix Inc.
EQM,US Equity,EQT MIDSTREAM PARTNERS LP
EQR,US Equity,Equity Residential
EQS,US Equity,EQUUS TOTAL RETURN INC
EQT,US Equity,EQT Corp.
EQY,US Equity,Equity One Inc.
ERA,US Equity,ERA GROUP INC
ERBA,US Equity,Ivax Diagnostics Inc.
ERIE,US Equity,Erie Indemnity Co.
ERII,US Equity,Energy Recovery Inc.
ERS,US Equity,EMPIRE RES INC DEL
ES,US Equity,Eversource Energy
ESCA,US Equity,Escalade Inc.
ESE,US Equity,ESCO Technologies Inc.
ESGR,US Equity,Enstar Group Ltd.
ESIO,US Equity,Electro Scientific Industries Inc.
ESL,US Equity,Esterline Technologies Corp.
ESMC,US Equity,Escalon Medical Corp.
ESNC,US Equity,Ensync Inc
ESND,US Equity,Essendant Inc
ESP,US Equity,Espey Manufacturing & Electronics Corp.
ESPR,US Equity,ESPERION THERAPEUTICS INC NE
ESRT,US Equity,EMPIRE ST RLTY TR INC
ESRX,US Equity,Express Scripts Inc.
ESS,US Equity,Essex Property Trust Inc.
ESSA,US Equity,ESSA Bancorp Inc.
ETE,US Equity,Energy Transfer Equity L.P.
ETFC,US Equity,E*TRADE Financial Corp.
ETH,US Equity,Ethan Allen Interiors Inc.
ETM,US Equity,Entercom Communications Corp.
ETN,US Equity,Eaton Corp.
ETP,US Equity,Energy Transfer Partners L.P.
ETR,US Equity,Entergy Corp.
ETRM,US Equity,EnteroMedics Inc.
ETSY,US Equity,ETSY INC
EV,US Equity,Eaton Vance Corp.
EVA,US Equity,ENVIVA PARTNERS LP
EVBG,US Equity,EVERBRIDGE INC
EVBN,US Equity,Evans Bancorp Inc.
EVBS,US Equity,Eastern Virginia Bankshares Inc.
EVC,US Equity,Entravision Communications Corp.
EVEP,US Equity,EV Energy Partners L.P.
EVER,US Equity,EVERBANK FINL CORP
EVH,US Equity,EVOLENT HEALTH INC
EVHC,US Equity,Envision Healthcare Corp
EVI,US Equity,EnviroStar Inc.
EVLV,US Equity,Evine Live Inc
EVOK,US Equity,Evoke Pharma Inc
EVOL,US Equity,Evolving Systems Inc.
EVR,US Equity,Evercore Partners Inc.
EVRI,US Equity,Everi Hldgs Inc
EW,US Equity,Edwards Lifesciences Corp.
EWBC,US Equity,East West Bancorp Inc.
EXA,US Equity,EXA CORP
EXAC,US Equity,Exactech Inc.
EXAR,US Equity,Exar Corp.
EXAS,US Equity,EXACT Sciences Corp.
EXC,US Equity,Exelon Corp.
EXEL,US Equity,Exelixis Inc.
EXLS,US Equity,ExlService Holdings Inc.
EXP,US Equity,Eagle Materials Inc.
EXPD,US Equity,Expeditors International of Washington Inc
EXPE,US Equity,Expedia Inc.
EXPO,US Equity,Exponent Inc.
EXPR,US Equity,EXPRESS INC
EXR,US Equity,Extra Space Storage Inc.
EXTN,US Equity,EXTERRAN CORP COM
EXTR,US Equity,Extreme Networks Inc.
EXXIQ,US Equity,ENERGY XXI (BERMUDA) LTD
EYEG,US Equity,EYEGATE PHARMACEUTICALS INC
EYES,US Equity,SECOND SIGHT MED PRODS INC
EZPW,US Equity,Ezcorp Inc
F,US Equity,Ford Motor Co.
FAC,US Equity,First Acceptance Corp.
FAF,US Equity,First American Finan
FALC,US Equity,FalconStor Software Inc.
FANG,US Equity,DIAMONDBACK ENERGY INC
FARM,US Equity,Farmer Bros. Co.
FARO,US Equity,FARO Technologies Inc.
FAST,US Equity,Fastenal Co.
FATE,US Equity,FATE THERAPEUTICS INC
FB,US Equity,FACEBOOK INC
FBC,US Equity,Flagstar Bancorp Inc.
FBHS,US Equity,FORTUNE BRANDS HOME & SECURITY INC.
FBIO,US Equity,Fortress Biotech Inc
FBK,US Equity,FB FINL CORP
FBNC,US Equity,First Bancorp (North Carolina)
FBNK,US Equity,FIRST CONN BANCORP INC MD
FBP,US Equity,First Bancorp (Puerto Rico)
FBRC,US Equity,Fbr & Co
FC,US Equity,Franklin Covey Co.
FCB,US Equity,FCB FINL HLDGS INC
FCBC,US Equity,First Community Bancshares Inc. (Nevada)
FCE/A,US Equity,Forest City Rlty Tr Inc
FCEL,US Equity,FuelCell Energy Inc.
FCF,US Equity,First Commonwealth Financial Corp. (Penns)
FCFS,US Equity,Firstcash Inc
FCH,US Equity,Felcor Lodging Trust Inc.
FCN,US Equity,FTI Consulting Inc.
FCNCA,US Equity,First Citizens Bancshares Inc.
FCPT,US Equity,FOUR CORNERS PPTY TR INC COM
FCSC,US Equity,FIBROCELL SCIENCE INC
FCX,US Equity,Freeport-McMoRan Copper & Gold Inc.
FDC,US Equity,FIRST DATA CORP NEW
FDEF,US Equity,First Defiance Financial Corp.
FDML,US Equity,Federal-Mogul Corp.
FDP,US Equity,Fresh Del Monte Produce Inc.
FDS,US Equity,FactSet Research Systems Inc.
FDUS,US Equity,FIDUS INVT CORP
FDX,US Equity,FedEx Corp.
FE,US Equity,FirstEnergy Corp.
FEIM,US Equity,Frequency Electronics Inc.
FELE,US Equity,Franklin Electric Co. Inc.
FELP,US Equity,FORESIGHT ENERGY LP
FENX,US Equity,FENIX PTS INC
FET,US Equity,FORUM ENERGY TECHNOLOGIES IN
FEYE,US Equity,FIREEYE INC
FF,US Equity,Futurefuel Corporation
FFBC,US Equity,First Financial Bancorp (Ohio)
FFG,US Equity,FBL Financial Group Inc.
FFIC,US Equity,Flushing Financial Corp.
FFIN,US Equity,First Financial Bankshares Inc.
FFIV,US Equity,F5 Networks Inc.
FFKT,US Equity,Farmers Capital Bank Corp.
FFNW,US Equity,First Financial Northwest Inc.
FGEN,US Equity,FIBROGEN INC
